Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
ICICI Pru Equity & Debt Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,40203.38,0.98,0,1,Allowed,5000,100,0.61,8.69,31.44,25.65,19.05,22.76,16.56,39.95,46.11,2.7,10.35,11.25,30.7,63.11,23.03,54.79,3.29,5.04,28.9,5.83
Quant Absolute Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,2250.71,0.7,0,1,Allowed,5000,1000,-4.27,3.08,30.37,23.64,15.74,25.58,16.43,49.64,46.11,0,13.85,11.25,28.69,77.11,21.16,75.45,0.68,0.99,37.63,1.47
Kotak Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,6714.55,0.45,0,1,Allowed,100,100,2.46,13.85,32.25,18.59,15.96,20.07,14.65,42.44,46.11,0,11.23,11.25,32.14,73.19,25.45,42.67,19.38,11.13,21.94,1.27
DSP Equity & Bond Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,10327.37,0.73,0,1,Allowed,100,0,3.67,15.16,31.31,15.58,13.35,17.47,14.26,44.39,46.11,3.72,9.98,11.25,28.81,68.53,28.27,43.31,15.04,10.17,23.86,3.2
Canara Rob Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,10873.25,0.58,0,1,Allowed,5000,0,2.2,11.78,28.35,15.54,13.05,17.55,14.18,46.67,46.11,2.53,10.89,11.25,25.69,70.87,24.4,48.91,12.87,9.1,19.27,4.73
JM Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,678.92,0.56,0,1,Allowed,1000,0,0.66,11.31,42.34,25.61,21.93,26.65,14.03,51.29,46.11,6.01,13.01,11.25,36.57,72.52,19.33,34.15,10.17,28.19,25.05,8.08
Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,2197.84,0.41,0,1,Allowed,100,0,1.45,11.53,31.36,21.58,18.53,20.28,13.97,41.6,46.11,2.83,11.44,11.25,28.6,73.86,17.42,55.54,12.33,5.99,24.21,8.57
Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,5358.42,0.68,0,1,Allowed,100,1000,1.77,10.4,26.84,16.03,12.2,17,13.66,43.43,46.11,2.12,10.19,11.25,27.67,71.31,23.95,50.23,11.88,9.2,21.06,2.87
Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,2013.57,1.01,0,1,Allowed,5000,500,1.24,9.79,28.25,17.2,14.08,17.61,13.58,45.55,46.11,2.2,10.14,11.25,27.82,68.16,30.01,46.74,9.41,12.01,21.2,1.83
SBI Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,71585.08,0.72,0,1,Allowed,1000,5000,0.73,7.19,22.39,14.25,10.58,14.7,13.17,42.44,46.11,2.91,9.73,11.25,27.49,70.75,18.5,49.01,19.16,2.58,27.84,8.21
HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,5631.02,0.81,0,1,Allowed,5000,1500,0.59,10.58,30.79,16.12,13.3,16.33,13.15,72.95,46.11,0,14.5,11.25,30,77.24,22.34,36.82,21.94,18.48,16.47,0.42
UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,6110.59,1.24,0,1,Allowed,1000,500,1.96,12.79,31.11,19.77,15.87,19.89,13.08,31.69,46.11,2.37,10.21,11.25,32.44,69.6,27.93,41.48,15.92,12.2,25.3,1.82
Tata Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,4137.3,0.98,0,1,Allowed,5000,0,0.35,9.35,26.2,16.02,12.65,15.8,12.19,42.8,46.11,2.34,10.72,11.25,28.85,73.69,19.99,56.55,8.23,8.91,24.85,5.1
Aditya Birla SL Equity Hybrid '95 Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,7687.59,1.06,0,1,Allowed,100,100,1.33,10.66,26.57,14.6,11.12,15.15,12.09,47.78,46.11,2,10.31,11.25,31.97,75.61,19.26,55.19,7.91,12.51,21.9,2.07
Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,3857.87,1.14,0,1,Allowed,500,100,2.73,10.4,28.29,18.71,15.68,14.24,11.5,40.65,46.11,2.24,10.65,11.25,42.35,72.5,22.02,53.73,8.6,10.17,20.2,2.01
HDFC Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,24068.32,1.02,0,1,Allowed,100,2500,1.12,8.34,22.02,16.34,12.65,16.72,11.04,35.11,46.11,0,9.91,11.25,33.56,67.42,29.04,47.15,4,16.27,27.46,1.09
Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,49.36,0.75,0,1,Allowed,500,500,-2.99,4.52,24.75,15.56,11.88,14.06,10.73,57.75,46.11,5.58,13.16,11.25,25.72,66.44,24.35,48.28,17.18,0.99,32.41,10.13
PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund,NIFTY 50 Hybrid Composite Debt 65:35 Index,,CRISIL Hybrid 35+65 Aggressive  Index,,Growth,208.76,0.77,0,0.5,Allowed,5000,1000,1.96,8.56,21.77,12.44,8.6,13.69,10.27,51.87,46.11,3.17,9.68,11.25,31.22,66.04,20.93,46.38,14.29,5.37,33.94,2.11
