# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Portfolio size (funds),AUM average,Volatility,3m absolute,6m absolute,1y absolute,3y cagr,5y cagr,10y cagr
0,5,1963.42,15.863999999999999,9.297999999999998,10.036,20.775999999999993,6.263999999999998,3.5100000000000016,-
1,10,3340.951,15.612,8.29,8.993999999999998,16.01111111111111,-,-,-
2,25,9381.265999999998,14.6532,6.6564,6.1566666666666645,11.35772727272727,-,-,-
3,50,6526.3334,13.5724,5.5718,4.191041666666667,6.432222222222219,4.015384615384617,-,-
0,5,7063.0419999999995,15.937999999999999,8.079999999999998,10.841999999999997,19.434,6.725999999999997,3.7440000000000033,-
1,10,6039.916,14.982,6.7170000000000005,9.37,14.807999999999996,4.876999999999997,3.1233333333333313,-
2,25,4289.5184,15.444399999999998,5.685599999999999,7.4596,13.898750000000003,4.8469999999999995,-,-
3,50,5470.453,14.85,4.6732,5.9916,10.017500000000002,4.076052631578952,-,-
0,5,1748.976,18.284,5.430000000000001,6.336,24.978000000000005,7.937499999999998,-,-
1,10,1968.538,18.612000000000002,3.367,3.8039999999999967,22.506000000000004,-,-,-
2,25,4672.234,17.121599999999997,3.9408000000000003,4.84,18.0928,8.036315789473685,-,-
3,50,6210.4326,16.0602,3.2422000000000004,3.6799999999999997,14.552800000000008,7.409999999999998,-,-
0,5,5371.568,15.742,2.618,2.121999999999998,15.008,11.610000000000001,7.438000000000006,4.450000000000001
1,10,17944.603,15.419,3.305,3.01,14.702000000000002,10.886999999999999,7.605999999999998,4.23625
2,25,11751.4892,15.469199999999999,2.8255999999999997,2.6012000000000004,11.927600000000002,9.4228,7.144736842105264,-
3,50,8088.740599999999,15.401800000000001,2.7564,2.531799999999997,9.9772,8.123600000000001,7.549268292682921,-
0,5,11810.968,16.408,0.3120000000000003,-2.224,2.776,7.544000000000002,13.212000000000007,-
1,10,5946.846,15.935000000000002,1.716,-0.47800000000000153,-0.9319999999999986,7.046000000000001,11.976000000000003,-
2,25,10006.215600000001,15.616800000000001,1.704,0.7951999999999995,5.849999999999998,7.677599999999996,9.554400000000001,-
3,50,9314.564400000001,15.374599999999997,2.125,1.739399999999998,7.987200000000005,7.076599999999997,7.571999999999999,-
0,5,21243.698,16.407999999999998,-0.32799999999999985,-1.4420000000000002,10.758,8.243999999999998,10.599999999999998,7.279999999999999
1,10,14898.478,16.648,0.6440000000000001,-0.4109999999999996,10.088999999999995,7.057000000000004,8.481000000000005,6.261000000000001
2,25,13140.134399999999,15.690400000000002,1.6016,1.1891999999999996,9.4988,6.633999999999999,6.766400000000004,4.951200000000002
3,50,13513.4952,14.792200000000001,2.2249999999999996,1.6645999999999965,7.447799999999997,5.405399999999998,4.904800000000002,3.747399999999997
