IndexName,Date,P/E,P/B,Div Yield %,Close,Earnings
NIFTY MICROCAP 250,03/03/2025,26.4,2.76,0.65,19319.95,731.8162879
NIFTY MICROCAP 250,28/02/2025,26.62,2.78,0.64,19479.15,731.7486852
NIFTY MICROCAP 250,27/02/2025,27.82,2.83,0.63,19876.55,714.4698059
NIFTY MICROCAP 250,25/02/2025,28.47,2.9,0.62,20341.9,714.5029856
NIFTY MICROCAP 250,24/02/2025,28.69,2.92,0.62,20499.05,714.5015685
NIFTY MICROCAP 250,21/02/2025,29.05,2.96,0.61,20758.1,714.5645439
NIFTY MICROCAP 250,20/02/2025,29.2,2.98,0.6,20864.85,714.5496575
NIFTY MICROCAP 250,19/02/2025,28.84,2.94,0.61,20618.3,714.9202497
NIFTY MICROCAP 250,18/02/2025,28.17,2.87,0.63,20141.65,715.0035499
NIFTY MICROCAP 250,17/02/2025,26.12,2.93,0.61,20551.3,786.8032159
NIFTY MICROCAP 250,14/02/2025,25.65,2.96,0.62,20736,808.4210526
NIFTY MICROCAP 250,13/02/2025,26.58,3.06,0.59,21470.5,807.7689992
NIFTY MICROCAP 250,12/02/2025,26.77,3.08,0.59,21589.85,806.4942099
NIFTY MICROCAP 250,11/02/2025,26.98,3.08,0.59,21565.85,799.3272795
NIFTY MICROCAP 250,10/02/2025,28.01,3.19,0.56,22380.3,799.0110675
NIFTY MICROCAP 250,07/02/2025,28.73,3.27,0.56,22947.7,798.7365124
NIFTY MICROCAP 250,06/02/2025,29.46,3.33,0.54,23172.9,786.5885947
NIFTY MICROCAP 250,05/02/2025,29.33,3.32,0.55,23099.45,787.5707467
NIFTY MICROCAP 250,04/02/2025,27.64,3.27,0.56,22760.35,823.4569465
NIFTY MICROCAP 250,03/02/2025,27.05,3.22,0.56,22416.85,828.7190388
NIFTY MICROCAP 250,01/02/2025,27.56,3.28,0.55,22790.45,826.9394049
NIFTY MICROCAP 250,31/01/2025,27.55,3.27,0.56,22733.6,825.1760436
NIFTY MICROCAP 250,30/01/2025,27.02,3.2,0.57,22289.55,824.9278312
NIFTY MICROCAP 250,29/01/2025,27,3.2,0.58,22281.45,825.2388889
NIFTY MICROCAP 250,28/01/2025,26.14,3.09,0.6,21534.65,823.8198164
NIFTY MICROCAP 250,27/01/2025,26.6,3.15,0.58,21950.25,825.1973684
NIFTY MICROCAP 250,24/01/2025,27.3,3.26,0.56,22725.35,832.4304029
NIFTY MICROCAP 250,23/01/2025,27.93,3.34,0.55,23228.5,831.6684569
NIFTY MICROCAP 250,22/01/2025,27.84,3.32,0.55,23136.35,831.0470546
NIFTY MICROCAP 250,21/01/2025,28.3,3.37,0.54,23488.65,829.9876325
NIFTY MICROCAP 250,20/01/2025,28.91,3.44,0.53,23952.2,828.5091664
NIFTY MICROCAP 250,17/01/2025,28.69,3.41,0.53,23752,827.8842802
NIFTY MICROCAP 250,16/01/2025,28.68,3.41,0.53,23749.4,828.0822873
NIFTY MICROCAP 250,15/01/2025,28.21,3.36,0.54,23357.1,827.9723502
NIFTY MICROCAP 250,14/01/2025,28.17,3.36,0.54,23328.5,828.1327654
NIFTY MICROCAP 250,13/01/2025,27.76,3.3,0.55,22942.75,826.4679395
NIFTY MICROCAP 250,10/01/2025,29.02,3.45,0.53,23983.3,826.4403859
NIFTY MICROCAP 250,09/01/2025,29.75,3.54,0.52,24589.1,826.5243697
NIFTY MICROCAP 250,08/01/2025,30.13,3.59,0.51,24905.25,826.5930966
NIFTY MICROCAP 250,07/01/2025,30.41,3.62,0.5,25133.15,826.476488
NIFTY MICROCAP 250,06/01/2025,29.75,3.54,0.52,24587.45,826.4689076
NIFTY MICROCAP 250,03/01/2025,30.9,3.68,0.5,25539,826.5048544
NIFTY MICROCAP 250,02/01/2025,30.87,3.67,0.5,25514.5,826.5144153
NIFTY MICROCAP 250,01/01/2025,30.66,3.65,0.5,25339,826.4514025
NIFTY MICROCAP 250,31/12/2024,30.29,3.6,0.51,25036.95,826.5747772
NIFTY MICROCAP 250,30/12/2024,29.93,3.55,0.52,24816.95,829.1663882
NIFTY MICROCAP 250,27/12/2024,30.24,3.58,0.51,25066.15,828.9070767
NIFTY MICROCAP 250,26/12/2024,30.13,3.57,0.51,24978.9,829.0375041
NIFTY MICROCAP 250,24/12/2024,30.35,3.6,0.51,25160.7,829.0181219
NIFTY MICROCAP 250,23/12/2024,30.16,3.57,0.51,25003.8,829.0384615
NIFTY MICROCAP 250,20/12/2024,30.43,3.61,0.51,25227.1,829.0207033
NIFTY MICROCAP 250,19/12/2024,31.14,3.69,0.5,25813.85,828.9611432
NIFTY MICROCAP 250,18/12/2024,31.19,3.7,0.5,25857,829.0157102
NIFTY MICROCAP 250,17/12/2024,31.5,3.73,0.49,26112.3,828.9619048
NIFTY MICROCAP 250,16/12/2024,31.62,3.75,0.49,26214.7,829.054396
NIFTY MICROCAP 250,13/12/2024,31.38,3.72,0.49,26014.55,829.0168897
NIFTY MICROCAP 250,12/12/2024,31.48,3.73,0.49,26100.1,829.1010165
NIFTY MICROCAP 250,11/12/2024,31.86,3.77,0.49,26411.6,828.9893283
NIFTY MICROCAP 250,10/12/2024,31.73,3.76,0.49,26301.5,828.9158525
NIFTY MICROCAP 250,09/12/2024,31.52,3.73,0.49,26128.8,828.9593909
NIFTY MICROCAP 250,06/12/2024,31.37,3.72,0.49,26005.8,829.0022314
NIFTY MICROCAP 250,05/12/2024,31.17,3.69,0.5,25843,829.0984921
NIFTY MICROCAP 250,04/12/2024,31.12,3.69,0.5,25796.75,828.9444087
NIFTY MICROCAP 250,03/12/2024,30.91,3.66,0.5,25632.1,829.2494338
NIFTY MICROCAP 250,02/12/2024,30.53,3.62,0.51,25321.45,829.3956764
