Date,Prob_Up,Prob_Down,Prediction,Actual
2002-12-27,0.9973297398133194,0.0026702601866805953,Up,Up
2002-12-30,0.9977917662743979,0.0022082337256020823,Up,Up
2002-12-31,0.9977388629459752,0.0022611370540247533,Up,Up
2003-01-01,0.997335546064142,0.0026644539358580688,Up,Up
2003-01-02,0.9978448582605189,0.002155141739481059,Up,Up
2003-01-03,0.998035910522172,0.0019640894778280016,Up,Up
2003-01-06,0.9983291143635433,0.001670885636456676,Up,Up
2003-01-07,0.998482965716845,0.0015170342831550276,Up,Up
2003-01-08,0.9981430205997097,0.0018569794002903373,Up,Up
2003-01-09,0.99769843614733,0.002301563852670052,Up,Up
2003-01-10,0.998590927201521,0.0014090727984790719,Up,Up
2003-01-13,0.9988601497790901,0.0011398502209099548,Up,Up
2003-01-14,0.998693658854293,0.0013063411457070462,Up,Up
2003-01-15,0.9984413710576735,0.001558628942326501,Up,Up
2003-01-16,0.9983317202239783,0.0016682797760217416,Up,Up
2003-01-17,0.9984217753228539,0.0015782246771460229,Up,Up
2003-01-20,0.9988623933882252,0.0011376066117746997,Up,Up
2003-01-21,0.9988441685252729,0.0011558314747270315,Up,Up
2003-01-22,0.9986633685137767,0.0013366314862232609,Up,Up
2003-01-23,0.9990886709220659,0.0009113290779341754,Up,Up
2003-01-24,0.9994418671810659,0.0005581328189340762,Up,Up
2003-01-27,0.9997062918079507,0.0002937081920493245,Up,Up
2003-01-28,0.9996078318420183,0.00039216815798170934,Up,Up
2003-01-29,0.9997150742826038,0.00028492571739624495,Up,Up
2003-01-30,0.9997490421702566,0.0002509578297434367,Up,Up
2003-01-31,0.9996825067239303,0.00031749327606972466,Up,Up
2003-02-03,0.9995085669848953,0.0004914330151046253,Up,Up
2003-02-04,0.9995131454503627,0.00048685454963731667,Up,Up
2003-02-05,0.9996263950196167,0.0003736049803833019,Up,Up
2003-02-06,0.9993772706364639,0.0006227293635361897,Up,Up
2003-02-07,0.9994973711521569,0.0005026288478430785,Up,Up
2003-02-10,0.9996377338178526,0.00036226618214740824,Up,Up
2003-02-11,0.9996551800854647,0.00034481991453527705,Up,Up
2003-02-12,0.9996970282612818,0.00030297173871823846,Up,Up
2003-02-14,0.9997881012959926,0.00021189870400734057,Up,Up
