"Date","Price","Open","High","Low","Change %"
"10/22/2017","6.762","6.762","6.762","6.762","0.03%"
"10/18/2017","6.760","6.764","6.773","6.758","-0.04%"
"10/17/2017","6.763","6.745","6.770","6.742","0.43%"
"10/16/2017","6.734","6.732","6.746","6.730","0.00%"
"10/13/2017","6.734","6.723","6.749","6.720","-0.28%"
"10/12/2017","6.753","6.734","6.756","6.729","0.19%"
"10/11/2017","6.740","6.760","6.760","6.730","-0.01%"
"10/10/2017","6.741","6.786","6.786","6.739","-0.58%"
"10/09/2017","6.780","6.760","6.785","6.752","0.34%"
"10/06/2017","6.757","6.729","6.764","6.729","0.42%"
"10/05/2017","6.729","6.729","6.729","6.729","0.39%"
"10/04/2017","6.703","6.703","6.703","6.703","0.83%"
"10/03/2017","6.648","6.648","6.648","6.648","-0.23%"
"09/29/2017","6.663","6.663","6.663","6.663","0.33%"
"09/28/2017","6.641","6.641","6.641","6.641","-0.38%"
"09/27/2017","6.666","6.666","6.666","6.666","-0.04%"
"09/26/2017","6.669","6.669","6.669","6.669","0.77%"
"09/25/2017","6.618","6.618","6.618","6.618","-0.68%"
"09/22/2017","6.663","6.663","6.663","6.663","-0.16%"
"09/21/2017","6.674","6.674","6.674","6.674","1.47%"
"09/20/2017","6.577","6.577","6.577","6.577","-0.21%"
"09/19/2017","6.591","6.591","6.591","6.591","-0.29%"
"09/18/2017","6.610","6.610","6.610","6.610","0.18%"
"09/15/2017","6.598","6.598","6.598","6.598","0.12%"
"09/14/2017","6.590","6.590","6.590","6.590","0.06%"
"09/13/2017","6.586","6.586","6.586","6.586","0.44%"
"09/12/2017","6.557","6.557","6.557","6.557","-0.08%"
"09/11/2017","6.562","6.562","6.562","6.562","0.29%"
"09/08/2017","6.543","6.543","6.543","6.543","0.43%"
"09/07/2017","6.515","6.515","6.515","6.515","0.12%"
"09/06/2017","6.507","6.507","6.507","6.507","0.15%"
"09/05/2017","6.497","6.497","6.497","6.497","0.02%"
"09/04/2017","6.496","6.496","6.496","6.496","0.20%"
"09/01/2017","6.483","6.483","6.483","6.483","-0.64%"
"08/31/2017","6.525","6.525","6.525","6.525","-0.17%"
"08/30/2017","6.536","6.536","6.536","6.536","0.05%"
"08/29/2017","6.533","6.533","6.533","6.533","-0.53%"
"08/28/2017","6.568","6.568","6.568","6.568","0.46%"
"08/24/2017","6.538","6.538","6.538","6.538","0.05%"
"08/23/2017","6.535","6.535","6.535","6.535","0.00%"
"08/22/2017","6.535","6.535","6.535","6.535","0.38%"
"08/21/2017","6.510","6.510","6.510","6.510","0.02%"
"08/18/2017","6.509","6.509","6.509","6.509","-0.37%"
"08/16/2017","6.533","6.533","6.533","6.533","0.20%"
"08/14/2017","6.520","6.520","6.520","6.520","0.28%"
"08/11/2017","6.502","6.502","6.502","6.502","0.12%"
"08/10/2017","6.494","6.494","6.494","6.494","0.45%"
"08/09/2017","6.465","6.465","6.465","6.465","0.12%"
"08/08/2017","6.457","6.457","6.457","6.457","0.00%"
"08/07/2017","6.457","6.457","6.457","6.457","0.25%"
"08/06/2017","6.441","6.441","6.441","6.441","0.05%"
"08/04/2017","6.438","6.438","6.438","6.438","0.14%"
"08/03/2017","6.429","6.429","6.429","6.429","-0.48%"
"08/02/2017","6.460","6.460","6.460","6.460","0.31%"
"08/01/2017","6.440","6.440","6.440","6.440","-0.39%"
"07/31/2017","6.465","6.465","6.465","6.465","0.05%"
"07/28/2017","6.462","6.462","6.462","6.462","0.34%"
"07/27/2017","6.440","6.440","6.440","6.440","-0.09%"
"07/26/2017","6.446","6.446","6.446","6.446","0.23%"
"07/25/2017","6.431","6.431","6.431","6.431","0.27%"
"07/24/2017","6.414","6.414","6.414","6.414","-0.34%"
"07/21/2017","6.436","6.436","6.436","6.436","-0.26%"
"07/20/2017","6.453","6.453","6.453","6.453","0.06%"
"07/19/2017","6.449","6.449","6.449","6.449","-0.09%"
"07/18/2017","6.455","6.455","6.455","6.455","-0.02%"
"07/17/2017","6.456","6.456","6.456","6.456","-0.11%"
"07/16/2017","6.463","6.463","6.463","6.463","0.00%"
"07/14/2017","6.463","6.463","6.463","6.463","0.11%"
"07/13/2017","6.456","6.456","6.456","6.456","-0.05%"
"07/12/2017","6.459","6.459","6.459","6.459","-0.39%"
"07/11/2017","6.484","6.484","6.484","6.484","0.25%"
"07/10/2017","6.468","6.468","6.468","6.468","-0.93%"
"07/07/2017","6.529","6.529","6.529","6.529","-0.11%"
"07/06/2017","6.536","6.536","6.536","6.536","-0.21%"
"07/05/2017","6.550","6.550","6.550","6.550","0.03%"
"07/04/2017","6.548","6.548","6.548","6.548","-0.06%"
"07/03/2017","6.552","6.552","6.552","6.552","0.63%"
