Date,Price,Open,High,Low,Change %
01/01/2005,6.703,6.703,6.703,6.703,-0.04%
02/01/2005,6.549,6.549,6.549,6.549,-2.30%
03/01/2005,6.676,6.676,6.676,6.676,1.94%
04/01/2005,7.357,7.357,7.357,7.357,10.20%
05/01/2005,6.979,6.979,6.979,6.979,-5.14%
06/01/2005,6.907,6.907,6.907,6.907,-1.03%
07/01/2005,6.994,6.994,6.994,6.994,1.26%
08/01/2005,7.094,7.094,7.094,7.094,1.43%
09/01/2005,7.101,7.101,7.101,7.101,0.10%
10/01/2005,7.099,7.099,7.099,7.099,-0.03%
11/01/2005,7.083,7.083,7.083,7.083,-0.23%
12/01/2005,7.11,7.11,7.11,7.11,0.38%
01/01/2006,7.372,7.372,7.372,7.372,3.68%
02/01/2006,7.393,7.393,7.393,7.393,0.28%
03/01/2006,7.55,7.55,7.55,7.55,2.12%
04/01/2006,7.39,7.39,7.39,7.39,-2.12%
05/01/2006,7.659,7.659,7.659,7.659,3.64%
06/01/2006,8.151,8.151,8.151,8.151,6.42%
07/01/2006,8.238,8.238,8.238,8.238,1.07%
08/01/2006,7.891,7.891,7.891,7.891,-4.21%
09/01/2006,7.642,7.642,7.642,7.642,-3.16%
10/01/2006,7.625,7.625,7.625,7.625,-0.22%
11/01/2006,7.424,7.424,7.424,7.424,-2.64%
12/01/2006,7.619,7.619,7.619,7.619,2.63%
01/01/2007,7.738,7.738,7.738,7.738,1.56%
02/01/2007,8,8,8,8,3.39%
03/01/2007,8.022,8.022,8.022,8.022,0.28%
04/01/2007,8.173,8.173,8.173,8.173,1.88%
05/01/2007,8.08,8.08,8.08,8.08,-1.14%
06/01/2007,8.187,8.187,8.187,8.187,1.32%
07/01/2007,7.845,7.845,7.845,7.845,-4.18%
08/01/2007,7.93,7.93,7.93,7.93,1.08%
09/01/2007,7.925,7.925,7.925,7.925,-0.06%
10/01/2007,7.839,7.839,7.839,7.839,-1.09%
11/01/2007,7.905,7.905,7.905,7.905,0.84%
12/01/2007,7.791,7.791,7.791,7.791,-1.44%
01/01/2008,7.529,7.529,7.529,7.529,-3.36%
02/01/2008,7.568,7.568,7.568,7.568,0.52%
03/01/2008,7.938,7.938,7.938,7.938,4.89%
04/01/2008,7.956,7.956,7.956,7.956,0.23%
05/01/2008,8.101,8.101,8.101,8.101,1.82%
06/01/2008,8.713,8.713,8.713,8.713,7.55%
07/01/2008,9.316,9.316,9.316,9.316,6.92%
08/01/2008,8.7,8.7,8.7,8.7,-6.61%
09/01/2008,8.617,8.617,8.617,8.617,-0.95%
10/01/2008,7.478,7.478,7.478,7.478,-13.22%
11/01/2008,7.08,7.08,7.08,7.08,-5.32%
12/01/2008,5.26,5.26,5.26,5.26,-25.71%
01/01/2009,6.187,6.187,6.187,6.187,17.62%
02/01/2009,6.328,6.328,6.328,6.328,2.28%
03/01/2009,7.014,7.014,7.014,7.014,10.84%
04/01/2009,6.242,6.242,6.242,6.242,-11.01%
