Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY 50,28/02/2025,19.67,3.29,1.45,22124.7,1124.79
NIFTY 50,27/02/2025,20.04,3.36,1.42,22545.05,1125
NIFTY 50,25/02/2025,20.04,3.36,1.42,22547.55,1125.13
NIFTY 50,24/02/2025,20.05,3.36,1.42,22553.35,1124.86
NIFTY 50,21/02/2025,20.26,3.39,1.41,22795.9,1125.17
NIFTY 50,20/02/2025,20.37,3.41,1.41,22913.15,1124.85
NIFTY 50,19/02/2025,20.38,3.41,1.42,22932.9,1125.26
NIFTY 50,18/02/2025,20.4,3.42,1.42,22945.3,1124.77
NIFTY 50,17/02/2025,20.44,3.42,1.42,22959.5,1123.26
NIFTY 50,14/02/2025,20.42,3.41,1.46,22929.25,1122.88
NIFTY 50,13/02/2025,20.51,3.43,1.45,23031.4,1122.94
NIFTY 50,12/02/2025,20.52,3.43,1.45,23045.25,1123.06
NIFTY 50,11/02/2025,20.53,3.43,1.38,23071.8,1123.81
NIFTY 50,10/02/2025,20.82,3.48,1.36,23381.6,1123.04
NIFTY 50,07/02/2025,21.41,3.51,1.41,23559.95,1100.42
NIFTY 50,06/02/2025,21.45,3.52,1.38,23603.35,1100.39
NIFTY 50,05/02/2025,21.52,3.53,1.37,23696.3,1101.13
NIFTY 50,04/02/2025,21.56,3.54,1.37,23739.25,1101.08
NIFTY 50,03/02/2025,21.22,3.48,1.39,23361.05,1100.9
NIFTY 50,01/02/2025,21.29,3.5,1.38,23482.15,1102.97
NIFTY 50,31/01/2025,21.33,3.51,1.38,23508.4,1102.13
NIFTY 50,30/01/2025,21.12,3.47,1.37,23249.5,1100.83
NIFTY 50,29/01/2025,21.06,3.45,1.38,23163.1,1099.86
NIFTY 50,28/01/2025,20.85,3.42,1.38,22957.25,1101.07
NIFTY 50,27/01/2025,20.85,3.4,1.37,22829.15,1094.92
NIFTY 50,24/01/2025,21.09,3.44,1.35,23092.2,1094.94
NIFTY 50,23/01/2025,21.24,3.46,1.35,23205.35,1092.53
NIFTY 50,22/01/2025,21.19,3.45,1.35,23155.35,1092.75
NIFTY 50,21/01/2025,21.07,3.43,1.36,23024.65,1092.77
NIFTY 50,20/01/2025,21.4,3.48,1.34,23344.75,1090.88
NIFTY 50,17/01/2025,21.36,3.46,1.39,23203.2,1086.29
NIFTY 50,16/01/2025,21.46,3.48,1.29,23311.8,1086.29
NIFTY 50,15/01/2025,21.37,3.46,1.3,23213.2,1086.25
NIFTY 50,14/01/2025,21.34,3.46,1.3,23176.05,1086.04
NIFTY 50,13/01/2025,21.25,3.44,1.3,23085.95,1086.4
NIFTY 50,10/01/2025,21.59,3.49,1.28,23431.5,1085.29
NIFTY 50,09/01/2025,21.68,3.51,1.28,23526.5,1085.17
NIFTY 50,08/01/2025,21.83,3.53,1.27,23688.95,1085.16
NIFTY 50,07/01/2025,21.84,3.54,1.27,23707.9,1085.53
NIFTY 50,06/01/2025,21.76,3.52,1.28,23616.05,1085.3
NIFTY 50,03/01/2025,22.12,3.58,1.26,24004.75,1085.21
NIFTY 50,02/01/2025,22.29,3.61,1.25,24188.65,1085.18
NIFTY 50,01/01/2025,21.88,3.54,1.27,23742.9,1085.14
NIFTY 50,31/12/2024,21.79,3.53,1.27,23644.8,1085.12
NIFTY 50,30/12/2024,21.76,3.52,1.28,23644.9,1086.62
NIFTY 50,27/12/2024,21.92,3.55,1.27,23813.4,1086.38
NIFTY 50,26/12/2024,21.86,3.54,1.27,23750.2,1086.47
NIFTY 50,24/12/2024,21.84,3.54,1.27,23727.65,1086.43
NIFTY 50,23/12/2024,21.86,3.54,1.27,23753.45,1086.62
NIFTY 50,20/12/2024,21.71,3.52,1.28,23587.5,1086.48
NIFTY 50,19/12/2024,22.05,3.57,1.26,23951.7,1086.24
NIFTY 50,18/12/2024,22.27,3.61,1.25,24198.85,1086.61
NIFTY 50,17/12/2024,22.4,3.63,1.24,24336,1086.43
NIFTY 50,16/12/2024,22.71,3.68,1.22,24668.25,1086.23
NIFTY 50,13/12/2024,22.8,3.69,1.22,24768.3,1086.33
NIFTY 50,12/12/2024,22.6,3.66,1.23,24548.7,1086.23
NIFTY 50,11/12/2024,22.68,3.67,1.24,24641.8,1086.5
NIFTY 50,10/12/2024,22.65,3.67,1.24,24610.05,1086.54
NIFTY 50,09/12/2024,22.66,3.67,1.24,24619,1086.45
NIFTY 50,06/12/2024,22.72,3.68,1.24,24677.8,1086.17
NIFTY 50,05/12/2024,22.74,3.68,1.24,24708.4,1086.56
NIFTY 50,04/12/2024,22.52,3.65,1.25,24467.45,1086.48
NIFTY 50,03/12/2024,22.51,3.64,1.25,24457.15,1086.5
NIFTY 50,02/12/2024,22.35,3.62,1.26,24276.05,1086.18
NIFTY 50,29/11/2024,22.21,3.6,1.27,24131.1,1086.5
NIFTY 50,28/11/2024,22.01,3.56,1.28,23914.15,1086.51
NIFTY 50,27/11/2024,22.34,3.63,1.26,24274.9,1086.61
NIFTY 50,26/11/2024,22.27,3.62,1.26,24194.5,1086.42
NIFTY 50,25/11/2024,22.29,3.63,1.26,24221.9,1086.67
NIFTY 50,22/11/2024,22.01,3.58,1.28,23907.25,1086.2
NIFTY 50,21/11/2024,21.49,3.5,1.31,23349.9,1086.55
NIFTY 50,19/11/2024,21.65,3.52,1.36,23518.5,1086.3
NIFTY 50,18/11/2024,21.57,3.51,1.33,23453.8,1087.33
NIFTY 50,14/11/2024,21.65,3.52,1.35,23532.7,1086.96
NIFTY 50,13/11/2024,21.68,3.53,1.33,23559.05,1086.67
NIFTY 50,12/11/2024,21.93,3.58,1.31,23883.45,1089.08
NIFTY 50,11/11/2024,22.23,3.62,1.29,24141.3,1085.98
NIFTY 50,08/11/2024,22.27,3.62,1.29,24148.2,1084.34
NIFTY 50,07/11/2024,22.55,3.62,1.29,24199.35,1073.14
NIFTY 50,06/11/2024,22.8,3.67,1.27,24484.05,1073.86
NIFTY 50,05/11/2024,22.55,3.63,1.27,24213.3,1073.76
NIFTY 50,04/11/2024,22.36,3.59,1.24,23995.35,1073.14
NIFTY 50,01/11/2024,22.68,3.64,1.26,24304.35,1071.62
NIFTY 50,31/10/2024,22.58,3.63,1.27,24205.35,1071.98
NIFTY 50,30/10/2024,22.9,3.65,1.25,24340.85,1062.92
NIFTY 50,29/10/2024,23.02,3.67,1.24,24466.85,1062.85
NIFTY 50,28/10/2024,22.74,3.65,1.18,24339.15,1070.32
NIFTY 50,25/10/2024,22.56,3.62,1.18,24180.8,1071.84
NIFTY 50,24/10/2024,22.76,3.65,1.23,24399.4,1072.03
NIFTY 50,23/10/2024,22.81,3.66,1.23,24435.5,1071.26
NIFTY 50,22/10/2024,22.83,3.67,1.23,24472.1,1071.93
NIFTY 50,21/10/2024,23.23,3.71,1.2,24781.1,1066.77
NIFTY 50,18/10/2024,23.38,3.72,1.22,24854.05,1063.05
NIFTY 50,17/10/2024,23.26,3.71,1.21,24749.85,1064.05
NIFTY 50,16/10/2024,23.47,3.74,1.2,24971.3,1063.97
NIFTY 50,15/10/2024,23.55,3.75,1.2,25057.35,1064.01
NIFTY 50,14/10/2024,23.62,3.76,1.2,25127.95,1063.84
NIFTY 50,11/10/2024,23.47,3.74,1.2,24964.25,1063.67
NIFTY 50,10/10/2024,23.5,3.74,1.2,24998.45,1063.76
NIFTY 50,09/10/2024,23.48,3.74,1.2,24981.95,1063.97
NIFTY 50,08/10/2024,23.51,3.75,1.2,25013.15,1063.94
NIFTY 50,07/10/2024,23.31,3.71,1.21,24795.75,1063.74
NIFTY 50,04/10/2024,23.52,3.75,1.2,25014.6,1063.55
NIFTY 50,03/10/2024,23.74,3.78,1.19,25250.1,1063.61
NIFTY 50,01/10/2024,24.25,3.86,1.16,25796.9,1063.79
NIFTY 50,30/09/2024,24.26,3.87,1.16,25810.85,1063.93
NIFTY 50,27/09/2024,24.34,3.87,1.16,26178.95,1075.55
NIFTY 50,26/09/2024,24.38,3.87,1.16,26216.05,1075.31
NIFTY 50,25/09/2024,24.18,3.84,1.17,26004.15,1075.44
NIFTY 50,24/09/2024,24.12,3.83,1.17,25940.4,1075.47
NIFTY 50,23/09/2024,24.12,3.83,1.17,25939.05,1075.42
NIFTY 50,20/09/2024,23.98,4.08,1.18,25790.95,1075.52
NIFTY 50,19/09/2024,23.64,4.04,1.2,25415.8,1075.12
NIFTY 50,18/09/2024,23.6,4.04,1.2,25377.55,1075.32
NIFTY 50,17/09/2024,23.64,4.05,1.2,25418.55,1075.23
NIFTY 50,16/09/2024,23.61,4.07,1.2,25383.75,1075.13
NIFTY 50,13/09/2024,23.58,4.07,1.2,25356.5,1075.34
NIFTY 50,12/09/2024,23.61,4.18,1.2,25388.9,1075.35
NIFTY 50,11/09/2024,23.17,4.11,1.22,24918.45,1075.46
NIFTY 50,10/09/2024,23.29,4.15,1.22,25041.1,1075.19
NIFTY 50,09/09/2024,23.19,4.21,1.22,24936.4,1075.31
NIFTY 50,06/09/2024,23.11,4.2,1.23,24852.15,1075.39
NIFTY 50,05/09/2024,23.38,4.25,1.21,25145.1,1075.5
NIFTY 50,04/09/2024,23.43,4.26,1.21,25198.7,1075.49
NIFTY 50,03/09/2024,23.51,4.27,1.21,25279.85,1075.28
NIFTY 50,02/09/2024,23.51,4.27,1.21,25278.7,1075.23
NIFTY 50,30/08/2024,23.47,4.26,1.21,25235.9,1075.24
NIFTY 50,29/08/2024,23.37,4.24,1.21,25151.95,1076.25
NIFTY 50,28/08/2024,23.28,4.22,1.22,25052.35,1076.13
NIFTY 50,27/08/2024,23.24,4.22,1.22,25017.75,1076.5
NIFTY 50,26/08/2024,23.24,4.21,1.22,25010.6,1076.19
NIFTY 50,23/08/2024,23.06,4.18,1.23,24823.15,1076.46
NIFTY 50,22/08/2024,23.05,4.18,1.22,24811.5,1076.42
NIFTY 50,21/08/2024,23.01,4.17,1.22,24770.2,1076.5
NIFTY 50,20/08/2024,22.95,4.16,1.26,24698.85,1076.2
NIFTY 50,19/08/2024,22.83,4.14,1.26,24572.65,1076.33
NIFTY 50,16/08/2024,22.8,4.14,1.24,24541.15,1076.37
NIFTY 50,14/08/2024,22.47,4.07,1.24,24143.75,1074.49
NIFTY 50,13/08/2024,22.46,4.07,1.25,24139,1074.76
NIFTY 50,12/08/2024,22.65,4.1,1.24,24347,1074.92
NIFTY 50,09/08/2024,22.67,4.11,1.21,24367.5,1074.88
NIFTY 50,08/08/2024,22.44,4.06,1.25,24117,1074.73
NIFTY 50,07/08/2024,22.61,4.09,1.25,24297.5,1074.64
NIFTY 50,06/08/2024,22.3,4.04,1.23,23992.55,1075.9
NIFTY 50,05/08/2024,22.38,4.05,1.22,24055.6,1074.87
NIFTY 50,02/08/2024,23.09,4.17,1.19,24717.7,1070.49
NIFTY 50,01/08/2024,23.45,4.22,1.19,25010.9,1066.56
NIFTY 50,31/07/2024,23.4,4.21,1.19,24951.15,1066.29
NIFTY 50,30/07/2024,23.31,4.19,1.19,24857.3,1066.38
NIFTY 50,29/07/2024,23.4,4.19,1.18,24836.1,1061.37
NIFTY 50,26/07/2024,23.4,4.19,1.2,24834.85,1061.32
NIFTY 50,25/07/2024,23.03,4.11,1.22,24406.1,1059.75
NIFTY 50,24/07/2024,23.05,4.11,1.22,24413.5,1059.15
NIFTY 50,23/07/2024,23.11,4.12,1.22,24479.05,1059.24
NIFTY 50,22/07/2024,23.28,4.15,1.2,24509.25,1052.8
NIFTY 50,19/07/2024,23.31,4.16,1.24,24530.9,1052.38
NIFTY 50,18/07/2024,23.57,4.19,1.2,24800.85,1052.22
NIFTY 50,16/07/2024,23.39,4.17,1.21,24613,1052.29
NIFTY 50,15/07/2024,23.38,4.16,1.2,24586.7,1051.61
NIFTY 50,12/07/2024,23.32,4.22,1.23,24502.15,1050.69
NIFTY 50,11/07/2024,23.14,4.19,1.23,24315.95,1050.82
NIFTY 50,10/07/2024,23.15,4.19,1.23,24324.45,1050.73
NIFTY 50,09/07/2024,23.25,4.21,1.23,24433.2,1050.89
NIFTY 50,08/07/2024,23.14,4.19,1.23,24320.55,1051.02
NIFTY 50,05/07/2024,23.15,4.19,1.23,24323.85,1050.71
NIFTY 50,04/07/2024,23.13,4.19,1.22,24302.15,1050.68
NIFTY 50,03/07/2024,23.11,4.18,1.22,24286.5,1050.91
NIFTY 50,02/07/2024,22.96,4.16,1.23,24123.85,1050.69
