Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY MIDCAP 150,28/02/2025,33.44,4.65,0.87,17750.55,530.82
NIFTY MIDCAP 150,27/02/2025,34.24,4.76,0.85,18176.85,530.87
NIFTY MIDCAP 150,25/02/2025,34.67,4.82,0.86,18408.75,530.97
NIFTY MIDCAP 150,24/02/2025,34.85,4.84,0.85,18503.9,530.96
NIFTY MIDCAP 150,21/02/2025,35.19,4.89,0.85,18681.35,530.87
NIFTY MIDCAP 150,20/02/2025,35.58,4.94,0.85,18888.8,530.88
NIFTY MIDCAP 150,19/02/2025,35.12,4.88,0.86,18644.9,530.89
NIFTY MIDCAP 150,18/02/2025,34.48,4.81,0.88,18375.85,532.94
NIFTY MIDCAP 150,17/02/2025,34.52,4.82,0.87,18408.45,533.27
NIFTY MIDCAP 150,14/02/2025,34.41,4.8,0.89,18346.8,533.18
NIFTY MIDCAP 150,13/02/2025,35.37,4.92,0.85,18796.8,531.43
NIFTY MIDCAP 150,12/02/2025,35.33,4.91,0.85,18766.85,531.19
NIFTY MIDCAP 150,11/02/2025,35.48,4.93,0.83,18837,530.92
NIFTY MIDCAP 150,10/02/2025,36.44,5.08,0.81,19406.95,532.57
NIFTY MIDCAP 150,07/02/2025,37.22,5.19,0.8,19819.6,532.5
NIFTY MIDCAP 150,06/02/2025,37.21,5.18,0.83,19793.75,531.95
NIFTY MIDCAP 150,05/02/2025,37.58,5.23,0.81,19995.7,532.08
NIFTY MIDCAP 150,04/02/2025,37.29,5.19,0.82,19849.15,532.29
NIFTY MIDCAP 150,03/02/2025,36.77,5.12,0.83,19579.2,532.48
NIFTY MIDCAP 150,01/02/2025,38.69,5.18,0.82,19773.4,511.07
NIFTY MIDCAP 150,31/01/2025,38.76,5.2,0.82,19850.95,512.15
NIFTY MIDCAP 150,30/01/2025,38.26,5.11,0.83,19514.25,510.04
NIFTY MIDCAP 150,29/01/2025,38.45,5.1,0.83,19481.75,506.68
NIFTY MIDCAP 150,28/01/2025,37.49,4.98,0.85,19019.1,507.31
NIFTY MIDCAP 150,27/01/2025,38,5.01,0.84,19152.1,504
NIFTY MIDCAP 150,24/01/2025,40.1,5.16,0.82,19708.95,491.5
NIFTY MIDCAP 150,23/01/2025,40.9,5.25,0.8,20047.95,490.17
NIFTY MIDCAP 150,22/01/2025,40.15,5.15,0.82,19696.9,490.58
NIFTY MIDCAP 150,21/01/2025,40.75,5.22,0.81,19946.3,489.48
NIFTY MIDCAP 150,20/01/2025,41.63,5.33,0.79,20350.9,488.85
NIFTY MIDCAP 150,17/01/2025,41.28,5.28,0.8,20195.9,489.24
NIFTY MIDCAP 150,16/01/2025,41.27,5.28,0.8,20172.65,488.8
NIFTY MIDCAP 150,15/01/2025,40.86,5.22,0.81,19955.4,488.38
NIFTY MIDCAP 150,14/01/2025,40.72,5.2,0.81,19883.35,488.29
NIFTY MIDCAP 150,13/01/2025,39.86,5.09,0.83,19458.3,488.17
NIFTY MIDCAP 150,10/01/2025,41.48,5.3,0.79,20252.95,488.26
NIFTY MIDCAP 150,09/01/2025,42.35,5.41,0.78,20674.25,488.18
NIFTY MIDCAP 150,08/01/2025,42.69,5.45,0.77,20840.3,488.18
NIFTY MIDCAP 150,07/01/2025,43.14,5.51,0.76,21060.8,488.2
NIFTY MIDCAP 150,06/01/2025,42.77,5.46,0.77,20879.65,488.18
NIFTY MIDCAP 150,03/01/2025,43.87,5.6,0.75,21419.3,488.24
NIFTY MIDCAP 150,02/01/2025,43.98,5.62,0.75,21473.15,488.25
NIFTY MIDCAP 150,01/01/2025,43.52,5.56,0.76,21246.5,488.2
NIFTY MIDCAP 150,31/12/2024,43.3,5.53,0.76,21141.2,488.25
NIFTY MIDCAP 150,30/12/2024,42.39,5.44,0.77,21109.25,497.98
NIFTY MIDCAP 150,27/12/2024,42.31,5.43,0.77,21071.85,498.03
NIFTY MIDCAP 150,26/12/2024,42.36,5.43,0.77,21096.85,498.04
NIFTY MIDCAP 150,24/12/2024,42.33,5.43,0.77,21080.7,498.01
NIFTY MIDCAP 150,23/12/2024,42.32,5.43,0.77,21076.15,498.02
NIFTY MIDCAP 150,20/12/2024,42.27,5.42,0.77,21050.6,498
NIFTY MIDCAP 150,19/12/2024,43.32,5.56,0.75,21571.3,497.95
NIFTY MIDCAP 150,18/12/2024,43.42,5.57,0.75,21623.1,498
NIFTY MIDCAP 150,17/12/2024,43.68,5.6,0.75,21754.1,498.03
NIFTY MIDCAP 150,16/12/2024,43.97,5.64,0.74,21898.8,498.04
NIFTY MIDCAP 150,13/12/2024,43.67,5.6,0.75,21748.1,498.01
NIFTY MIDCAP 150,12/12/2024,43.72,5.61,0.75,21770.05,497.94
NIFTY MIDCAP 150,11/12/2024,43.94,5.64,0.75,21879.55,497.94
NIFTY MIDCAP 150,10/12/2024,43.79,5.62,0.75,21809.1,498.04
NIFTY MIDCAP 150,09/12/2024,43.67,5.6,0.75,21748.5,498.02
NIFTY MIDCAP 150,06/12/2024,43.51,5.58,0.75,21665.4,497.94
NIFTY MIDCAP 150,05/12/2024,43.33,5.56,0.76,21577.65,497.98
NIFTY MIDCAP 150,04/12/2024,43.14,5.53,0.76,21485.15,498.03
NIFTY MIDCAP 150,03/12/2024,42.75,5.48,0.77,21291.35,498.04
NIFTY MIDCAP 150,02/12/2024,42.38,5.44,0.77,21105.95,498.02
NIFTY MIDCAP 150,29/11/2024,41.98,5.38,0.78,20906.65,498.01
NIFTY MIDCAP 150,28/11/2024,41.85,5.37,0.78,20839.9,497.97
NIFTY MIDCAP 150,27/11/2024,41.84,5.37,0.78,20838.2,498.04
NIFTY MIDCAP 150,26/11/2024,41.64,5.4,0.78,20735.1,497.96
NIFTY MIDCAP 150,25/11/2024,41.63,5.4,0.75,20725.7,497.85
NIFTY MIDCAP 150,22/11/2024,41,5.32,0.76,20412.65,497.87
NIFTY MIDCAP 150,21/11/2024,40.54,5.26,0.77,20180.9,497.8
