Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,28/02/2025,20.37,3.17,1.41,57063.05,2801.33
NIFTY NEXT 50,27/02/2025,20.98,3.26,1.34,58767.2,2801.11
NIFTY NEXT 50,25/02/2025,21.18,3.3,1.33,59312.5,2800.4
NIFTY NEXT 50,24/02/2025,21.34,3.32,1.32,59752.6,2800.03
NIFTY NEXT 50,21/02/2025,21.6,3.36,1.33,60466.8,2799.39
NIFTY NEXT 50,20/02/2025,21.8,3.39,1.32,61039.1,2799.96
NIFTY NEXT 50,19/02/2025,21.49,3.34,1.38,60156.4,2799.27
NIFTY NEXT 50,18/02/2025,21.31,3.3,1.4,59449.4,2789.74
NIFTY NEXT 50,17/02/2025,21.34,3.3,1.38,59446.55,2785.69
NIFTY NEXT 50,14/02/2025,21.38,3.31,1.37,59557.95,2785.69
NIFTY NEXT 50,13/02/2025,22.03,3.39,1.32,60947.75,2766.58
NIFTY NEXT 50,12/02/2025,21.99,3.38,1.3,60826.5,2766.1
NIFTY NEXT 50,11/02/2025,21.99,3.38,1.31,60827.8,2766.16
NIFTY NEXT 50,10/02/2025,22.53,3.47,1.28,62390.3,2769.21
NIFTY NEXT 50,07/02/2025,22.95,3.53,1.26,63552.2,2769.16
NIFTY NEXT 50,06/02/2025,23,3.53,1.18,63536.7,2762.47
NIFTY NEXT 50,05/02/2025,23.19,3.56,1.23,64012.8,2760.36
NIFTY NEXT 50,04/02/2025,23.07,3.54,1.24,63598.35,2756.76
NIFTY NEXT 50,03/02/2025,22.75,3.48,1.26,62634.2,2753.15
NIFTY NEXT 50,01/02/2025,23.47,3.53,1.23,63503.1,2705.71
NIFTY NEXT 50,31/01/2025,23.34,3.51,1.24,63127.35,2704.69
NIFTY NEXT 50,30/01/2025,23.1,3.46,1.25,62193.15,2692.34
NIFTY NEXT 50,29/01/2025,23.11,3.45,1.25,62142.15,2688.97
NIFTY NEXT 50,28/01/2025,22.31,3.39,1.28,60912.1,2730.26
NIFTY NEXT 50,27/01/2025,22.23,3.38,1.28,60730.9,2731.93
NIFTY NEXT 50,24/01/2025,22.9,3.47,1.24,62494,2729
NIFTY NEXT 50,23/01/2025,23.27,3.53,1.22,63499.75,2728.82
NIFTY NEXT 50,22/01/2025,23.04,3.5,1.24,62865.6,2728.54
NIFTY NEXT 50,21/01/2025,23.23,3.53,1.22,63406.15,2729.49
NIFTY NEXT 50,20/01/2025,23.85,3.62,1.19,65106.15,2729.82
NIFTY NEXT 50,17/01/2025,23.82,3.62,1.19,65053.6,2731.05
NIFTY NEXT 50,16/01/2025,23.64,3.59,1.2,64564.5,2731.15
NIFTY NEXT 50,15/01/2025,23.31,3.54,1.22,63639.55,2730.14
NIFTY NEXT 50,14/01/2025,23.1,3.51,1.23,63084.1,2730.91
NIFTY NEXT 50,13/01/2025,22.52,3.42,1.26,61481.55,2730.09
NIFTY NEXT 50,10/01/2025,23.53,3.58,1.21,64257.1,2730.86
NIFTY NEXT 50,09/01/2025,24.01,3.65,1.18,65557.2,2730.41
NIFTY NEXT 50,08/01/2025,24.32,3.7,1.17,66402.6,2730.37
NIFTY NEXT 50,07/01/2025,24.52,3.72,1.16,66938.9,2729.97
NIFTY NEXT 50,06/01/2025,24.54,3.73,1.16,66996.8,2730.11
NIFTY NEXT 50,03/01/2025,25.34,3.85,1.12,69192.45,2730.56
NIFTY NEXT 50,02/01/2025,25.31,3.85,1.12,69103.6,2730.29
NIFTY NEXT 50,01/01/2025,24.99,3.8,1.14,68247.95,2731.01
NIFTY NEXT 50,31/12/2024,24.9,3.78,1.14,67988.35,2730.46
NIFTY NEXT 50,30/12/2024,21.71,3.65,1.42,68063.8,3135.14
NIFTY NEXT 50,27/12/2024,21.87,3.67,1.41,68557.15,3134.76
NIFTY NEXT 50,26/12/2024,22.06,3.71,1.5,69165.85,3135.35
NIFTY NEXT 50,24/12/2024,21.97,3.69,1.5,68857.25,3134.15
NIFTY NEXT 50,23/12/2024,21.98,3.69,1.43,68888.95,3134.17
NIFTY NEXT 50,20/12/2024,21.92,3.68,1.43,68702.65,3134.24
NIFTY NEXT 50,19/12/2024,22.53,3.79,1.39,70625.7,3134.74
NIFTY NEXT 50,18/12/2024,22.73,3.82,1.38,71250,3134.62
NIFTY NEXT 50,17/12/2024,23.03,3.87,1.36,72188,3134.52
NIFTY NEXT 50,16/12/2024,23.34,3.92,1.34,73155.6,3134.34
NIFTY NEXT 50,13/12/2024,23.28,3.91,1.35,72965.95,3134.28
NIFTY NEXT 50,12/12/2024,23.31,3.92,1.34,73082.6,3135.25
NIFTY NEXT 50,11/12/2024,23.38,3.93,1.34,73292.15,3134.82
NIFTY NEXT 50,10/12/2024,23.32,3.92,1.34,73096.45,3134.5
NIFTY NEXT 50,09/12/2024,23.2,3.9,1.35,72708.1,3133.97
NIFTY NEXT 50,06/12/2024,23.3,3.91,1.34,73040.4,3134.78
NIFTY NEXT 50,05/12/2024,23.12,3.88,1.35,72487.05,3135.25
