Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY SMALLCAP 250,28/02/2025,26.09,3.2,1.04,13844.55,530.6458413
NIFTY SMALLCAP 250,27/02/2025,26.73,3.28,1.02,14200.2,531.2457912
NIFTY SMALLCAP 250,25/02/2025,27.18,3.33,1,14441.7,531.3355408
NIFTY SMALLCAP 250,24/02/2025,27.31,3.35,1,14506.45,531.1772245
NIFTY SMALLCAP 250,21/02/2025,27.64,3.39,1,14683.4,531.2373372
NIFTY SMALLCAP 250,20/02/2025,27.8,3.41,0.99,14767.3,531.1978417
NIFTY SMALLCAP 250,19/02/2025,27.46,3.37,1,14588.65,531.2691187
NIFTY SMALLCAP 250,18/02/2025,26.86,3.29,1.02,14267.95,531.1969471
NIFTY SMALLCAP 250,17/02/2025,27.52,3.34,1,14468.25,525.7358285
NIFTY SMALLCAP 250,14/02/2025,27.52,3.35,1.02,14501.65,526.9494913
NIFTY SMALLCAP 250,13/02/2025,28.23,3.46,0.96,14997.5,531.2610698
NIFTY SMALLCAP 250,12/02/2025,28.37,3.48,0.96,15050.6,530.5111033
NIFTY SMALLCAP 250,11/02/2025,28.78,3.5,0.96,15156.95,526.6487144
NIFTY SMALLCAP 250,10/02/2025,29.8,3.62,0.93,15693.6,526.6308725
NIFTY SMALLCAP 250,07/02/2025,30.51,3.7,0.91,16035.75,525.5899705
NIFTY SMALLCAP 250,06/02/2025,30.81,3.72,0.9,16098.65,522.5137942
NIFTY SMALLCAP 250,05/02/2025,30.7,3.72,0.9,16104.4,524.5732899
NIFTY SMALLCAP 250,04/02/2025,30.24,3.66,0.92,15855.95,524.3369709
NIFTY SMALLCAP 250,03/02/2025,29.88,3.62,0.93,15677.65,524.6870817
NIFTY SMALLCAP 250,01/02/2025,30.39,3.68,0.91,15955.45,525.0230339
NIFTY SMALLCAP 250,31/01/2025,30.18,3.66,0.99,15851.05,525.2170311
NIFTY SMALLCAP 250,30/01/2025,29.79,3.6,1,15585.95,523.1940248
NIFTY SMALLCAP 250,29/01/2025,29.79,3.61,0.99,15613.35,524.1137966
NIFTY SMALLCAP 250,28/01/2025,29.55,3.49,1.04,15135.1,512.1861252
