Index Name,Date,PE,Close,Earnings
S&p 500,01/12/1927,15.72972973,17.46,1.11
S&p 500,01/01/1928,15.47219771,17.53,1.133
S&p 500,01/02/1928,14.995671,17.32,1.155
S&p 500,01/03/1928,15.50552251,18.25,1.177
S&p 500,01/04/1928,16.16666667,19.4,1.2
S&p 500,01/05/1928,16.36661211,20,1.222
S&p 500,01/06/1928,15.27710843,19.02,1.245
S&p 500,01/07/1928,15.11041009,19.16,1.268
S&p 500,01/08/1928,15.33333333,19.78,1.29
S&p 500,01/09/1928,16.13567073,21.17,1.312
S&p 500,01/10/1928,16.17977528,21.6,1.335
S&p 500,01/11/1928,16.99336772,23.06,1.357
S&p 500,01/12/1928,16.77536232,23.15,1.38
S&p 500,01/01/1929,17.7698356,24.86,1.399
S&p 500,01/02/1929,17.62341326,24.99,1.418
S&p 500,01/03/1929,17.68428373,25.43,1.438
S&p 500,01/04/1929,17.35072066,25.28,1.457
S&p 500,01/05/1929,17.38482385,25.66,1.476
S&p 500,01/06/1929,17.4916388,26.15,1.495
S&p 500,01/07/1929,18.81109643,28.48,1.514
S&p 500,01/08/1929,19.6347032,30.1,1.533
S&p 500,01/09/1929,20.16752577,31.3,1.552
S&p 500,01/10/1929,17.80534351,27.99,1.572
S&p 500,01/11/1929,12.93526084,20.58,1.591
S&p 500,01/12/1929,13.29192547,21.4,1.61
S&p 500,01/01/1930,13.94348105,21.71,1.557
S&p 500,01/02/1930,15.3493014,23.07,1.503
S&p 500,01/03/1930,16.51034483,23.94,1.45
S&p 500,01/04/1930,18.22476736,25.46,1.397
S&p 500,01/05/1930,17.82576322,23.94,1.343
S&p 500,01/06/1930,16.68217054,21.52,1.29
S&p 500,01/07/1930,17.02506063,21.06,1.237
S&p 500,01/08/1930,17.5739645,20.79,1.183
S&p 500,01/09/1930,18.38938053,20.78,1.13
S&p 500,01/10/1930,16.63881151,17.92,1.077
S&p 500,01/11/1930,16.24633431,16.62,1.023
S&p 500,01/12/1930,15.98969072,15.51,0.97
S&p 500,01/01/1931,17,15.98,0.94
S&p 500,01/02/1931,18.9010989,17.2,0.91
S&p 500,01/03/1931,19.92045455,17.53,0.88
S&p 500,01/04/1931,18.65882353,15.86,0.85
S&p 500,01/05/1931,17.47560976,14.33,0.82
S&p 500,01/06/1931,17.55696203,13.87,0.79
S&p 500,01/07/1931,18.85526316,14.33,0.76
S&p 500,01/08/1931,19.04109589,13.9,0.73
S&p 500,01/09/1931,16.9,11.83,0.7
S&p 500,01/10/1931,15.29850746,10.25,0.67
S&p 500,01/11/1931,16.234375,10.39,0.64
S&p 500,01/12/1931,13.83606557,8.44,0.61
S&p 500,01/01/1932,13.98954997,8.3,0.5933
S&p 500,01/02/1932,14.2708514,8.23,0.5767
S&p 500,01/03/1932,14.75,8.26,0.56
S&p 500,01/04/1932,11.55899135,6.28,0.5433
S&p 500,01/05/1932,10.4613632,5.51,0.5267
S&p 500,01/06/1932,9.352941176,4.77,0.51
S&p 500,01/07/1932,10.15609163,5.01,0.4933
S&p 500,01/08/1932,15.79609817,7.53,0.4767
S&p 500,01/09/1932,17.95652174,8.26,0.46
S&p 500,01/10/1932,16.061358,7.12,0.4433
S&p 500,01/11/1932,16.52214671,7.05,0.4267
S&p 500,01/12/1932,16.63414634,6.82,0.41
S&p 500,01/01/1933,17.18787879,7.09,0.4125
S&p 500,01/02/1933,15.06024096,6.25,0.415
S&p 500,01/03/1933,14.92215569,6.23,0.4175
S&p 500,01/04/1933,16.4047619,6.89,0.42
S&p 500,01/05/1933,20.99408284,8.87,0.4225
S&p 500,01/06/1933,24.44705882,10.39,0.425
S&p 500,01/07/1933,26.26900585,11.23,0.4275
S&p 500,01/08/1933,24.81395349,10.67,0.43
S&p 500,01/09/1933,24.46242775,10.58,0.4325
S&p 500,01/10/1933,21.95402299,9.55,0.435
S&p 500,01/11/1933,22.35428571,9.78,0.4375
S&p 500,01/12/1933,22.65909091,9.97,0.44
S&p 500,01/01/1934,23.72805043,10.54,0.4442
S&p 500,01/02/1934,25.25094803,11.32,0.4483
S&p 500,01/03/1934,23.73480663,10.74,0.4525
S&p 500,01/04/1934,23.91066346,10.92,0.4567
S&p 500,01/05/1934,21.2890625,9.81,0.4608
S&p 500,01/06/1934,21.37634409,9.94,0.465
S&p 500,01/07/1934,20.18329071,9.47,0.4692
S&p 500,01/08/1934,19.22670611,9.1,0.4733
S&p 500,01/09/1934,18.59685864,8.88,0.4775
S&p 500,01/10/1934,18.58002906,8.95,0.4817
S&p 500,01/11/1934,18.9378345,9.2,0.4858
S&p 500,01/12/1934,18.89795918,9.26,0.49
S&p 500,01/01/1935,16.24561404,9.26,0.57
S&p 500,01/02/1935,13.81538462,8.98,0.65
S&p 500,01/03/1935,11.52054795,8.41,0.73
S&p 500,01/04/1935,11.9471313,9.04,0.756667
S&p 500,01/05/1935,12.44681381,9.75,0.783333
S&p 500,01/06/1935,12.49382716,10.12,0.81
S&p 500,01/07/1935,13.42437539,10.65,0.793333
S&p 500,01/08/1935,14.6394787,11.37,0.776667
S&p 500,01/09/1935,15.27631579,11.61,0.76
S&p 500,01/10/1935,15.68421053,11.92,0.76
S&p 500,01/11/1935,17.15789474,13.04,0.76
S&p 500,01/12/1935,17.15789474,13.04,0.76
S&p 500,01/01/1936,17.87012987,13.76,0.77
S&p 500,01/02/1936,18.65384615,14.55,0.78
S&p 500,01/03/1936,18.81012658,14.86,0.79
S&p 500,01/04/1936,18.14634146,14.88,0.82
S&p 500,01/05/1936,16.57647059,14.09,0.85
S&p 500,01/06/1936,16.69318182,14.69,0.88
S&p 500,01/07/1936,17.28888889,15.56,0.9
S&p 500,01/08/1936,17.25,15.87,0.92
S&p 500,01/09/1936,17.07446809,16.05,0.94
S&p 500,01/10/1936,17.47240777,16.89,0.966667
S&p 500,01/11/1936,17.47651593,17.36,0.993333
S&p 500,01/12/1936,16.7254902,17.06,1.02
S&p 500,01/01/1937,16.75238095,17.59,1.05
S&p 500,01/02/1937,16.76851852,18.11,1.08
S&p 500,01/03/1937,16.2972973,18.09,1.11
S&p 500,01/04/1937,15.05309735,17.01,1.13
S&p 500,01/05/1937,14.13043478,16.25,1.15
S&p 500,01/06/1937,13.36752137,15.64,1.17
S&p 500,01/07/1937,13.96344392,16.57,1.18667
S&p 500,01/08/1937,13.91139588,16.74,1.20333
S&p 500,01/09/1937,11.77868852,14.37,1.22
S&p 500,01/10/1937,10.31932773,12.28,1.19
S&p 500,01/11/1937,9.655172414,11.2,1.16
S&p 500,01/12/1937,9.752212389,11.02,1.13
S&p 500,01/01/1938,10.50461144,11.31,1.07667
S&p 500,01/02/1938,10.78830876,11.04,1.02333
S&p 500,01/03/1938,10.62886598,10.31,0.97
S&p 500,01/04/1938,10.94834352,9.89,0.903333
S&p 500,01/05/1938,11.9282821,9.98,0.836667
S&p 500,01/06/1938,13.25974026,10.21,0.77
S&p 500,01/07/1938,17,12.24,0.72
S&p 500,01/08/1938,18.37313433,12.31,0.67
S&p 500,01/09/1938,18.9516129,11.75,0.62
S&p 500,01/10/1938,20.84041445,13.06,0.626667
S&p 500,01/11/1938,20.63685297,13.07,0.633333
S&p 500,01/12/1938,19.828125,12.69,0.64
S&p 500,01/01/1939,18.84423057,12.5,0.663333
S&p 500,01/02/1939,18.05824366,12.4,0.686667
S&p 500,01/03/1939,17.45070423,12.39,0.71
S&p 500,01/04/1939,14.90366289,10.83,0.726667
S&p 500,01/05/1939,15.10763009,11.23,0.743333
S&p 500,01/06/1939,15.03947368,11.43,0.76
S&p 500,01/07/1939,15.07724675,11.71,0.776667
S&p 500,01/08/1939,14.5462246,11.54,0.793333
S&p 500,01/09/1939,15.7654321,12.77,0.81
S&p 500,01/10/1939,15.35714286,12.9,0.84
S&p 500,01/11/1939,14.56321839,12.67,0.87
S&p 500,01/12/1939,13.74444444,12.37,0.9
S&p 500,01/01/1940,13.22580645,12.3,0.93
S&p 500,01/02/1940,12.72916667,12.22,0.96
S&p 500,01/03/1940,12.27272727,12.15,0.99
S&p 500,01/04/1940,12.18870136,12.27,1.00667
S&p 500,01/05/1940,10.33879589,10.58,1.02333
S&p 500,01/06/1940,9.298076923,9.67,1.04
S&p 500,01/07/1940,9.484207229,9.99,1.05333
S&p 500,01/08/1940,9.562470117,10.2,1.06667
S&p 500,01/09/1940,9.842592593,10.63,1.08
S&p 500,01/10/1940,10.02803738,10.73,1.07
S&p 500,01/11/1940,10.35849057,10.98,1.06
S&p 500,01/12/1940,10.02857143,10.53,1.05
S&p 500,01/01/1941,10.01585448,10.55,1.05333
S&p 500,01/02/1941,9.359591926,9.89,1.05667
S&p 500,01/03/1941,9.386792453,9.95,1.06
S&p 500,01/04/1941,9.009345794,9.64,1.07
S&p 500,01/05/1941,8.731481481,9.43,1.08
S&p 500,01/06/1941,8.95412844,9.76,1.09
S&p 500,01/07/1941,9.13355826,10.26,1.12333
S&p 500,01/08/1941,8.827063899,10.21,1.15667
S&p 500,01/09/1941,8.605042017,10.24,1.19
S&p 500,01/10/1941,8.330508475,9.83,1.18
S&p 500,01/11/1941,8.008547009,9.37,1.17
S&p 500,01/12/1941,7.551724138,8.76,1.16
S&p 500,01/01/1942,7.973214286,8.93,1.12
S&p 500,01/02/1942,8.009259259,8.65,1.08
S&p 500,01/03/1942,7.865384615,8.18,1.04
S&p 500,01/04/1942,7.68627451,7.84,1.02
S&p 500,01/05/1942,7.93,7.93,1
S&p 500,01/06/1942,8.5,8.33,0.98
S&p 500,01/07/1942,8.937927952,8.64,0.966667
S&p 500,01/08/1942,9.010492661,8.59,0.953333
S&p 500,01/09/1942,9.234042553,8.68,0.94
S&p 500,01/10/1942,9.608247423,9.32,0.97
S&p 500,01/11/1942,9.47,9.47,1
S&p 500,01/12/1942,9.242718447,9.52,1.03
S&p 500,01/01/1943,9.670957415,10.09,1.04333
S&p 500,01/02/1943,10.11668733,10.69,1.05667
S&p 500,01/03/1943,10.34579439,11.07,1.07
S&p 500,01/04/1943,10.59259259,11.44,1.08
S&p 500,01/05/1943,10.90825688,11.89,1.09
S&p 500,01/06/1943,11,12.1,1.1
S&p 500,01/07/1943,11.29576615,12.35,1.09333
S&p 500,01/08/1943,10.80364784,11.74,1.08667
S&p 500,01/09/1943,11.10185185,11.99,1.08
S&p 500,01/10/1943,11.49681128,11.88,1.03333
S&p 500,01/11/1943,11.48310423,11.33,0.986667
S&p 500,01/12/1943,12.21276596,11.48,0.94
S&p 500,01/01/1944,12.65124105,11.85,0.936667
S&p 500,01/02/1944,12.61071879,11.77,0.933333
S&p 500,01/03/1944,13.01075269,12.1,0.93
S&p 500,01/04/1944,12.83093064,11.89,0.926667
S&p 500,01/05/1944,13.10469787,12.1,0.923333
S&p 500,01/06/1944,13.77173913,12.67,0.92
S&p 500,01/07/1944,14.23358184,13,0.913333
S&p 500,01/08/1944,14.12867128,12.81,0.906667
S&p 500,01/09/1944,14,12.6,0.9
S&p 500,01/10/1944,14.18681319,12.91,0.91
S&p 500,01/11/1944,13.93478261,12.82,0.92
S&p 500,01/12/1944,14.08602151,13.1,0.93
S&p 500,01/01/1945,14.35106383,13.49,0.94
S&p 500,01/02/1945,14.67368421,13.94,0.95
S&p 500,01/03/1945,14.51041667,13.93,0.96
S&p 500,01/04/1945,14.6712379,14.28,0.973333
S&p 500,01/05/1945,15.0202652,14.82,0.986667
S&p 500,01/06/1945,15.09,15.09,1
S&p 500,01/07/1945,14.82942648,14.78,0.996667
S&p 500,01/08/1945,14.92953521,14.83,0.993333
S&p 500,01/09/1945,16,15.84,0.99
S&p 500,01/10/1945,16.83673469,16.5,0.98
S&p 500,01/11/1945,17.56701031,17.04,0.97
S&p 500,01/12/1945,18.05208333,17.33,0.96
S&p 500,01/01/1946,19.17021277,18.02,0.94
S&p 500,01/02/1946,19.64130435,18.07,0.92
S&p 500,01/03/1946,19.47777778,17.53,0.9
S&p 500,01/04/1946,21.20454545,18.66,0.88
S&p 500,01/05/1946,21.74418605,18.7,0.86
S&p 500,01/06/1946,22.11904762,18.58,0.84
S&p 500,01/07/1946,21.07003071,18.05,0.856667
S&p 500,01/08/1946,20.26718331,17.7,0.873333
S&p 500,01/09/1946,16.95505618,15.09,0.89
S&p 500,01/10/1946,15.58098043,14.75,0.946667
S&p 500,01/11/1946,14.64124466,14.69,1.00333
S&p 500,01/12/1946,14.27358491,15.13,1.06
S&p 500,01/01/1947,13.46017699,15.21,1.13
S&p 500,01/02/1947,13.16666667,15.8,1.2
S&p 500,01/03/1947,11.93700787,15.16,1.27
S&p 500,01/04/1947,11.00499747,14.6,1.32667
S&p 500,01/05/1947,10.36629004,14.34,1.38333
S&p 500,01/06/1947,10.30555556,14.84,1.44
S&p 500,01/07/1947,10.67943413,15.77,1.47667
S&p 500,01/08/1947,10.21588153,15.46,1.51333
S&p 500,01/09/1947,9.716129032,15.06,1.55
S&p 500,01/10/1947,9.840764331,15.45,1.57
S&p 500,01/11/1947,9.603773585,15.27,1.59
S&p 500,01/12/1947,9.335403727,15.03,1.61
S&p 500,01/01/1948,9.024359076,14.83,1.64333
S&p 500,01/02/1948,8.409526025,14.1,1.67667
S&p 500,01/03/1948,8.362573099,14.3,1.71
S&p 500,01/04/1948,8.75,15.4,1.76
S&p 500,01/05/1948,8.922651934,16.15,1.81
S&p 500,01/06/1948,9.043010753,16.82,1.86
S&p 500,01/07/1948,8.507772021,16.42,1.93
S&p 500,01/08/1948,7.97,15.94,2
S&p 500,01/09/1948,7.61352657,15.76,2.07
S&p 500,01/10/1948,7.553666491,16.19,2.14333
S&p 500,01/11/1948,6.897733988,15.29,2.21667
S&p 500,01/12/1948,6.633187773,15.19,2.29
S&p 500,01/01/1949,6.620689655,15.36,2.32
S&p 500,01/02/1949,6.285106383,14.77,2.35
S&p 500,01/03/1949,6.264705882,14.91,2.38
S&p 500,01/04/1949,6.238818102,14.89,2.38667
S&p 500,01/05/1949,6.175496066,14.78,2.39333
S&p 500,01/06/1949,5.820833333,13.97,2.4
S&p 500,01/07/1949,6.158544981,14.76,2.39667
S&p 500,01/08/1949,6.388588285,15.29,2.39333
S&p 500,01/09/1949,6.481171548,15.49,2.39
S&p 500,01/10/1949,6.714075051,15.89,2.36667
S&p 500,01/11/1949,6.87483197,16.11,2.34333
S&p 500,01/12/1949,7.129310345,16.54,2.32
S&p 500,01/01/1950,7.223955458,16.88,2.33667
S&p 500,01/02/1950,7.31304152,17.21,2.35333
S&p 500,01/03/1950,7.320675105,17.35,2.37
S&p 500,01/04/1950,7.351638253,17.84,2.42667
S&p 500,01/05/1950,7.425513323,18.44,2.48333
S&p 500,01/06/1950,7.377952756,18.74,2.54
S&p 500,01/07/1950,6.684615385,17.38,2.6
S&p 500,01/08/1950,6.928571429,18.43,2.66
S&p 500,01/09/1950,7.014705882,19.08,2.72
S&p 500,01/10/1950,7.199275362,19.87,2.76
S&p 500,01/11/1950,7.082142857,19.83,2.8
S&p 500,01/12/1950,6.954225352,19.75,2.84
S&p 500,01/01/1951,7.477076995,21.21,2.83667
S&p 500,01/02/1951,7.764715017,22,2.83333
S&p 500,01/03/1951,7.643109541,21.63,2.83
