scheme_name,nav_date,nav
360 ONE Focused Equity Fund-Direct Plan-Growth,31/10/2014,10.1298
360 ONE Focused Equity Fund-Direct Plan-Growth,30/11/2014,10.702
360 ONE Focused Equity Fund-Direct Plan-Growth,31/12/2014,10.5688
360 ONE Focused Equity Fund-Direct Plan-Growth,31/01/2015,11.2234
360 ONE Focused Equity Fund-Direct Plan-Growth,28/02/2015,11.1332
360 ONE Focused Equity Fund-Direct Plan-Growth,31/03/2015,10.9191
360 ONE Focused Equity Fund-Direct Plan-Growth,30/04/2015,10.7907
360 ONE Focused Equity Fund-Direct Plan-Growth,31/05/2015,11.0795
360 ONE Focused Equity Fund-Direct Plan-Growth,30/06/2015,10.8631
360 ONE Focused Equity Fund-Direct Plan-Growth,31/07/2015,11.2819
360 ONE Focused Equity Fund-Direct Plan-Growth,31/08/2015,10.5891
360 ONE Focused Equity Fund-Direct Plan-Growth,30/09/2015,10.5346
360 ONE Focused Equity Fund-Direct Plan-Growth,31/10/2015,10.7886
360 ONE Focused Equity Fund-Direct Plan-Growth,30/11/2015,10.8204
360 ONE Focused Equity Fund-Direct Plan-Growth,31/12/2015,10.8958
360 ONE Focused Equity Fund-Direct Plan-Growth,31/01/2016,10.2425
360 ONE Focused Equity Fund-Direct Plan-Growth,29/02/2016,9.4544
360 ONE Focused Equity Fund-Direct Plan-Growth,31/03/2016,10.333
360 ONE Focused Equity Fund-Direct Plan-Growth,30/04/2016,10.6411
360 ONE Focused Equity Fund-Direct Plan-Growth,31/05/2016,10.993
360 ONE Focused Equity Fund-Direct Plan-Growth,30/06/2016,11.4205
360 ONE Focused Equity Fund-Direct Plan-Growth,31/07/2016,12.5579
360 ONE Focused Equity Fund-Direct Plan-Growth,31/08/2016,13.0514
360 ONE Focused Equity Fund-Direct Plan-Growth,30/09/2016,12.9825
360 ONE Focused Equity Fund-Direct Plan-Growth,31/10/2016,13.1674
360 ONE Focused Equity Fund-Direct Plan-Growth,30/11/2016,12.4058
360 ONE Focused Equity Fund-Direct Plan-Growth,31/12/2016,12.0572
360 ONE Focused Equity Fund-Direct Plan-Growth,31/01/2017,12.9452
360 ONE Focused Equity Fund-Direct Plan-Growth,28/02/2017,13.4087
