Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
BANK OF INDIA Small Cap Fund Direct Plan Growth,186.3545816733068,59.76037946449737,41.95883206459578,16.88563632383446,25.07319574076132,1096.0,8.327053504144692,21.718882303132933,73.71601208459214,169.44704779756324,186.3545816733068,,
Edelweiss Small Cap Fund - Direct Plan - Growth,158.25588293454615,60.797320176048196,39.64717104540103,18.19670393642985,21.450467108971182,1037.0,7.379239465570409,20.141667816567782,70.21831215379602,133.08941638407998,,,
DSP Healthcare Fund - Direct Plan - Growth,146.76798578900622,59.76037946449737,35.096354347061556,16.88563632383446,18.210718023227095,1096.0,2.315970375219931,10.377858214884785,25.112578805163604,125.18912103746398,146.76798578900622,,
Mirae Asset Healthcare Fund Direct Growth,150.22633339893721,52.8116125566856,30.73936300686193,13.192254515570156,17.547108491291773,1249.0,1.8342010412495071,8.107648484333149,28.580097087378647,127.31986411585912,145.79990333494442,,
SBI Small Cap Fund - Direct Plan - Growth,756.3454089769878,184.98318055669597,31.14464511886681,14.136012961199995,17.008632157666813,2891.0,5.760607512943961,15.387776849060558,49.10941443263082,101.54802082017945,116.46122263197493,76.11799294098086,217.79500369581402
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,703.2588194497306,184.98318055669597,30.08928548945462,14.136012961199995,15.953272528254626,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,703.2588194497306,184.98318055669597,30.08928548945462,14.136012961199995,15.953272528254626,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Tata Small Cap Fund-Direct Plan-Growth,132.95938950108805,59.55180343393018,31.507511309139204,16.335834902417503,15.171676406721701,1127.0,6.555164185887964,17.77696284053633,73.58674969088042,117.55082724767323,127.63046749842226,,
Tata Digital India Fund-Direct Plan-Growth,351.4920971337738,118.3902114301232,28.53127255198695,13.89044107917865,14.640831472808301,2192.0,10.603229337846152,34.8181981013792,77.2808102219867,179.0358855222184,205.20233557700104,287.55170342401095,372.07367298726825
Invesco India Smallcap Fund - Direct Plan - Growth,126.60098522167486,59.55180343393018,30.334133046447565,16.335834902417503,13.998298144030063,1127.0,6.1865189289012,18.43460350154479,64.99282639885223,109.28116469517744,120.94140249759846,,
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,607.3500198649185,184.98318055669597,28.017589518657736,14.136012961199995,13.881576557457741,2891.0,0.8791893704021959,12.505529225908369,40.565292910153175,73.77950578321486,101.45209044449052,91.89135784727587,188.19165295276125
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,604.4159978023027,184.98318055669597,27.950426262775196,14.136012961199995,13.8144133015752,2891.0,3.7920745206945203,14.731001907918959,63.26540357831969,144.3432732244399,154.61660091849566,145.32383676975408,234.2407236074962
Axis Small Cap Fund - Direct Plan - Growth,598.7817258883249,184.98318055669597,27.82076279776955,14.136012961199995,13.684749836569555,2891.0,6.945307644499687,20.353208602902605,60.705113238384314,100.20360674810935,141.93321616871702,122.75080906148868,211.44796380090494
Kotak-Small Cap Fund - Growth - Direct,582.6490979708882,184.98318055669597,27.44437833330535,14.136012961199995,13.308365372105357,2891.0,5.174766511940041,20.26026346080061,73.47224912601118,136.16214383484234,151.54218607886148,110.54970891177788,207.8256457262579
DSP Small Cap Fund - Direct Plan - Growth,577.8410372040587,184.98318055669597,27.330699908675072,14.136012961199995,13.194686947475077,2891.0,6.966917814921225,20.23216749655048,60.29994001199759,115.30321748939141,118.80163033589287,63.84706571650472,134.9163866531218
Kotak Emerging Equity Scheme - Growth - Direct,544.1094360692349,184.98318055669597,26.512752672103336,14.136012961199995,12.37673971090334,2891.0,3.078886903242267,12.433516192809991,49.16782118777131,84.1760748089862,103.02710313269974,81.2737109120704,162.813252619931
quant Flexi Cap Fund - Growth Option-Direct Plan,526.296624950277,184.98318055669597,26.065596933253097,14.136012961199995,11.929583972053102,2891.0,0.34891037007379144,10.829142916962974,58.27404887101765,136.00221381791349,131.59959265266096,109.57497278091972,207.52742024340165
Sundaram Services Fund Direct Plan - Growth,117.09407679412469,58.76794150711196,26.89117129521852,15.260945466275476,11.630225828943043,1188.0,1.686811183712391,19.745387697591465,46.78086396847992,71.14638808694079,110.06980988152597,,
Axis Growth Opportunities Fund - Direct Plan - Growth,125.1497005988024,67.08115679449016,29.17977176741291,17.57829635030077,11.601475417112137,1157.0,3.819604233778179,15.989717223650382,46.68400520156045,85.83196046128498,120.74363992172208,,
Axis Midcap Fund - Direct Plan - Growth,490.33962264150944,184.98318055669597,25.12803363004885,14.136012961199995,10.992020668848856,2891.0,2.1548909494580197,15.830001480823332,41.77995287293819,81.14867994441872,104.33646812957156,113.77425526100025,206.98587127158552
,,,,,,,,,,,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,181.2749003984064,59.629644321630636,39.78464136706623,16.354213692023322,23.430427675042907,1127.0,6.525839305922282,11.841584158415836,70.32569360675514,138.51351351351352,184.67741935483872,,
Edelweiss Small Cap Fund - Direct Plan - Growth,154.86454419616373,60.66573648366923,37.676694335895334,17.591626688874907,20.085067647020427,1068.0,5.220834353824801,11.86477455192467,65.1419053110385,111.73813044192545,,,
SBI Small Cap Fund - Direct Plan - Growth,746.238029090321,184.74997306839646,30.57415169332689,13.96436592794359,16.6097857653833,2922.0,1.2903850129540002,9.269023662967378,47.89059479510928,86.44580215466777,124.2195335214515,77.48535577753114,193.82359095804136
