Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
quant ESG Equity Fund - Growth Option - Direct Plan,176.7977803782417,68.68070809060367,39.10085386308564,18.46899006935365,20.631863793731988,1126.0,11.529130828257017,22.176725664085453,27.46726465973933,50.316205938726775,150.10104455340013,,
ICICI Prudential Commodities Fund - Direct Plan - Growth Option,268.23529411764713,97.98087357914743,36.699192650132,17.79721080414003,18.90198184599197,1522.0,13.440048323769263,23.796967699406732,28.718300205620295,49.64143426294821,158.49965588437715,265.0145772594753,
Edelweiss Small Cap Fund - Direct Plan - Growth,285.47557840616963,101.05290934114262,32.14365821035534,15.518952984620228,16.624705225735113,1767.0,13.314538161948505,26.58527874281633,44.3428359866716,49.26110260336907,154.06972955360055,247.91183294663574,
BANK OF INDIA Small Cap Fund Direct Plan Growth,309.46215139442234,115.78713550314588,32.54876866020524,16.618788252745343,15.929980407459897,1826.0,11.620961172956832,26.41451414514144,42.84225156358581,42.99130434782609,148.39879154078548,285.2858481724461,309.46215139442234
Union Midcap Fund - Direct Plan - Growth Option,265.1031894934334,142.47338666400432,41.20193873614273,26.61451487687716,14.58742385926557,1370.0,9.69560315670802,19.459791282995713,34.20689655172414,33.105335157318756,104.94997367035283,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,1197.0997944736243,300.64233426126407,29.475829287166476,15.0160429478732,14.459786339293277,3621.0,13.165110670991783,27.621330137807078,50.171704540892335,61.47968289500979,183.98685246053427,270.1611852109311,264.23314151084554
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,1197.0997944736243,300.64233426126407,29.475829287166476,15.0160429478732,14.459786339293277,3621.0,13.165110670991783,27.621330137807078,50.171704540892335,61.47968289500979,183.98685246053427,270.1611852109311,264.23314151084554
SBI Small Cap Fund - Direct Plan - Growth,1085.0425183192585,300.64233426126407,28.301971346353017,15.0160429478732,13.285928398479818,3621.0,6.602327145111706,16.762752528635666,26.623436798110184,38.3837066091054,106.34313459500689,178.90962180825576,199.54706324951462
Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,204.020618556701,110.36211367413561,32.81846838831475,20.902635261863978,11.91583312645077,1430.0,24.90470139771283,51.07581967213114,61.500547645125934,110.79342387419584,194.89999999999998,,
Tata Small Cap Fund-Direct Plan-Growth,248.46033843738508,111.87731733914941,27.809219646629856,15.902570905953862,11.906648740675994,1857.0,9.648280800052525,18.923309086593086,35.62608046594913,49.579864191633106,159.65082444228904,225.412231944844,240.48934414291955
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,961.9019038746357,300.64233426126407,26.89082302075292,15.0160429478732,11.87478007287972,3621.0,16.976695228853856,28.4904338538925,32.02752470689567,50.749259980983965,146.12138769928384,268.3456761991569,283.83264167336745
Mahindra Manulife Focused Fund - Direct Plan -Growth,123.49478457147971,68.68070809060367,29.782826335967428,18.46899006935365,11.313836266613777,1126.0,12.021969587472146,23.783298545520637,32.19039105093836,46.35515357517271,108.22092937078484,,
Axis Small Cap Fund - Direct Plan - Growth,886.2944162436551,300.64233426126407,25.949585084390737,15.0160429478732,10.933542136517538,3621.0,10.750113999088015,19.525098425196855,35.57075076751327,41.14484962952202,126.82699042727063,182.57707969749853,241.4762741652021
Invesco India Smallcap Fund - Direct Plan - Growth,234.08866995073888,111.87731733914941,26.755526188250677,15.902570905953862,10.852955282296815,1857.0,16.769972451790625,27.76940467219291,46.100818612666934,47.434782608695635,143.25681492109038,208.55323020928108,225.74447646493755
DSP Small Cap Fund - Direct Plan - Growth,878.7824126268321,300.64233426126407,25.852555961425594,15.0160429478732,10.836513013552395,3621.0,11.009103927986907,23.5579591546289,42.4506940570341,44.397042802850756,131.46837299206823,210.8914791140714,215.9430838094545
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,175.9013282732448,107.30950005601765,34.5570190342646,23.765890004133983,10.791129030130616,1248.0,15.76433121019107,30.1118568232662,39.67339097022093,40.75508228460793,109.05823148813802,,
Mirae Asset Midcap Fund- Direct Growth Option,212.57016840416995,116.41929034090597,29.39887856937475,19.07646026327774,10.322418306097013,1614.0,11.074698108502826,24.95792257754267,36.03524997818688,44.44804743595682,117.53871912934282,174.7554850647634,
UTI Small Cap Fund - Direct Plan - Growth Option,120.19821370285746,71.90287018686298,30.098192815946057,19.791970635031152,10.306222180914904,1095.0,11.320179210752643,22.137308257806843,37.302874623017935,38.92567192306973,120.19821370285746,,
quant Flexi Cap Fund - Growth Option-Direct Plan,826.0691737298941,300.64233426126407,25.152206771409325,15.0160429478732,10.136163823536126,3621.0,15.631566748089037,26.516018187062564,31.581227980934074,47.86430851410331,134.03082792040416,248.96304153983334,242.45313619733713
HDFC Dividend Yield Fund - Growth Option Direct Plan,119.0811668981941,71.90287018686298,29.877827408482837,19.791970635031152,10.085856773451685,1095.0,13.446716678655847,25.67021458250328,39.88215914850481,51.8814060672766,119.0811668981941,,
,,,,,,,,,,,,,
quant ESG Equity Fund - Growth Option - Direct Plan,192.8183156543732,71.91859909882534,40.34541664852238,18.641751596411773,21.70366505211061,1157.0,22.306094373908618,20.807036259787175,41.694865717717214,58.89896041378603,160.2491088278465,,
ICICI Prudential Commodities Fund - Direct Plan - Growth Option,279.11764705882354,101.78119252265975,36.78190901550833,17.93855300898297,18.84335600652536,1553.0,23.58581016299138,20.994993742177726,35.494043447792585,54.2481053051456,170.79831932773112,282.4925816023739,
Edelweiss Small Cap Fund - Direct Plan - Growth,299.0705952145541,104.91219719155187,32.43875841092279,15.677609474097931,16.761148936824856,1798.0,19.39653897352463,23.55588208283589,50.15066403779622,56.581448578189864,158.58158754564676,231.54263183834405,
BANK OF INDIA Small Cap Fund Direct Plan Growth,325.29880478087654,119.92925248643633,32.91441647554911,16.7553927289414,16.159023746607712,1857.0,15.280777537796986,24.74437627811863,52.0113919544322,51.203966005665734,157.53920386007243,260.64189189189193,330.4435483870968
Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,239.79381443298973,114.40009527882592,35.741601230824706,20.990024792541373,14.751576438283333,1461.0,45.90526781761842,54.23490875058493,85.06457046603035,117.1277997364954,232.92929292929296,239.79381443298973,
Union Midcap Fund - Direct Plan - Growth Option,276.9230769230769,147.12775649265558,41.29606998323854,26.5805958669441,14.715474116294438,1401.0,16.362583260932517,18.70014771048744,43.60257326661901,43.34641455583303,114.63675213675215,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,1245.0348041578918,308.3328178162697,29.66164815000676,15.098050219324776,14.563597930681983,3652.0,18.873024451465955,24.576103228313215,58.013684202158956,69.19295087443798,194.54391557127008,260.539536866161,296.77519960079843
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,1245.0348041578918,308.3328178162697,29.66164815000676,15.098050219324776,14.563597930681983,3652.0,18.873024451465955,24.576103228313215,58.013684202158956,69.19295087443798,194.54391557127008,260.539536866161,296.77519960079843
SBI Small Cap Fund - Direct Plan - Growth,1128.0356316009966,308.3328178162697,28.487667936619832,15.098050219324776,13.389617717295057,3652.0,13.230113863539938,14.318115576135993,34.40607559257298,45.11704619574893,114.6144627679866,170.56464084282388,225.38076404021754
Mahindra Manulife Focused Fund - Direct Plan -Growth,135.56633885867134,71.91859909882534,31.036097508265815,18.641751596411773,12.394345911854042,1157.0,22.018830606947144,22.686125036251404,42.24162258554539,51.23495802611,118.60679714678552,,
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,1029.4207754049016,308.3328178162697,27.417159184350236,15.098050219324776,12.31910896502546,3652.0,28.316571100567295,28.928827078433372,48.775383051716794,58.598279832478205,159.72959833218655,287.0694904240241,316.5925056226553
Tata Small Cap Fund-Direct Plan-Growth,260.28378660360295,115.94438386041436,28.11914973963596,16.047843777254165,12.071305962381796,1888.0,14.920604735190654,17.399877609301704,42.197279871993985,57.79839671334942,169.19239164328033,213.18160224573526,262.2056840317666
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,189.9430740037951,111.28888556932581,35.498485421709816,23.7978322245749,11.700653197134915,1279.0,25.554642563681178,28.727885425442295,51.28712871287129,49.29164631167563,124.21129860601614,,
