Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
Edelweiss Small Cap Fund - Direct Plan - Growth,158.25588293454615,-45.07389243468921,39.64717104540103,-19.014332105551468,58.6615031509525,1037.0,7.379239465570409,20.141667816567782,70.21831215379602,133.08941638407998,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,186.3545816733068,-41.281875248415886,41.95883206459578,-16.24815484198209,58.20698690657787,1096.0,8.327053504144692,21.718882303132933,73.71601208459214,169.44704779756324,186.3545816733068,,
DSP Healthcare Fund - Direct Plan - Growth,146.76798578900622,-41.281875248415886,35.096354347061556,-16.24815484198209,51.34450918904365,1096.0,2.315970375219931,10.377858214884785,25.112578805163604,125.18912103746398,146.76798578900622,,
Tata Small Cap Fund-Direct Plan-Growth,132.95938950108805,-42.503506564749095,31.507511309139204,-16.409799927961576,47.917311237100776,1127.0,6.555164185887964,17.77696284053633,73.58674969088042,117.55082724767323,127.63046749842226,,
Invesco India Smallcap Fund - Direct Plan - Growth,126.60098522167486,-42.503506564749095,30.334133046447565,-16.409799927961576,46.74393297440914,1127.0,6.1865189289012,18.43460350154479,64.99282639885223,109.28116469517744,120.94140249759846,,
Axis Growth Opportunities Fund - Direct Plan - Growth,125.1497005988024,-43.53642392807518,29.17977176741291,-16.499300944890628,45.67907271230354,1157.0,3.819604233778179,15.989717223650382,46.68400520156045,85.83196046128498,120.74363992172208,,
Mirae Asset Healthcare Fund Direct Growth,150.22633339893721,-37.99243830252703,30.73936300686193,-13.03483701191096,43.77420001877289,1249.0,1.8342010412495071,8.107648484333149,28.580097087378647,127.31986411585912,145.79990333494442,,
Sundaram Services Fund Direct Plan - Growth,117.09407679412469,-43.22058673779437,26.89117129521852,-15.961586715297072,42.85275801051559,1188.0,1.686811183712391,19.745387697591465,46.78086396847992,71.14638808694079,110.06980988152597,,
Axis Growth Opportunities Fund - Direct Plan - IDCW,105.78842315369263,-43.53642392807518,25.56691706680345,-16.499300944890628,42.066218011694076,1157.0,3.8267875125881248,16.038266741699502,34.24479166666668,69.99175597691674,101.76125244618395,,
SBI Small Cap Fund - Direct Plan - Growth,756.3454089769878,-58.55092648860655,31.14464511886681,-10.52334118291568,41.66798630178249,2891.0,5.760607512943961,15.387776849060558,49.10941443263082,101.54802082017945,116.46122263197493,76.11799294098086,217.79500369581402
Tata Digital India Fund-Direct Plan-Growth,351.4920971337738,-55.99400845517346,28.53127255198695,-12.7752943949889,41.30656694697585,2192.0,10.603229337846152,34.8181981013792,77.2808102219867,179.0358855222184,205.20233557700104,287.55170342401095,372.07367298726825
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,703.2588194497306,-58.55092648860655,30.08928548945462,-10.52334118291568,40.6126266723703,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,703.2588194497306,-58.55092648860655,30.08928548945462,-10.52334118291568,40.6126266723703,2891.0,7.869187241746675,22.04335757793827,75.86537660293506,129.2308100775755,125.5597329526967,90.16208639935925,213.65119520201853
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,607.3500198649185,-58.55092648860655,28.017589518657736,-10.52334118291568,38.540930701573416,2891.0,0.8791893704021959,12.505529225908369,40.565292910153175,73.77950578321486,101.45209044449052,91.89135784727587,188.19165295276125
