sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.2.5,2024-02-10,2025-02-13,1600,20,Quarterly,4,17.142988469580178,7.5604560885257674
1.2.5,2024-02-10,2025-02-13,1600,20,Semi-Annual,2,18.880442985482865,7.5604560885257674
1.2.5,2024-02-10,2025-02-13,1600,20,Annual,1,20.91034429580757,7.5604560885257674
1.2.5,2024-02-10,2025-02-13,1600,20,No,0,20.910344295807555,7.5604560885257674
1.2.5,2023-02-10,2025-02-13,1600,20,Quarterly,8,49.86738440621769,36.643956124600805
1.2.5,2023-02-10,2025-02-13,1600,20,Semi-Annual,4,75.02700380915769,36.643956124600805
1.2.5,2023-02-10,2025-02-13,1600,20,Annual,2,82.85978039472324,36.643956124600805
1.2.5,2023-02-10,2025-02-13,1600,20,No,0,85.05202524612446,36.643956124600805
1.2.5,2022-02-10,2025-02-13,1600,20,Quarterly,12,60.88676649508107,40.793980141024306
1.2.5,2022-02-10,2025-02-13,1600,20,Semi-Annual,6,80.92122333299949,40.793980141024306
1.2.5,2022-02-10,2025-02-13,1600,20,Annual,3,97.63980155468164,40.793980141024306
1.2.5,2022-02-10,2025-02-13,1600,20,No,0,91.63394185425732,40.793980141024306
1.2.5,2021-02-10,2025-02-13,1600,20,Quarterly,16,100.10291008977276,62.74042284175159
1.2.5,2021-02-10,2025-02-13,1600,20,Semi-Annual,8,143.2724514657787,62.74042284175159
1.2.5,2021-02-10,2025-02-13,1600,20,Annual,4,170.51501612249444,62.74042284175159
1.2.5,2021-02-10,2025-02-13,1600,20,No,0,140.45529881488386,62.74042284175159
1.2.5,2020-02-10,2025-02-13,1600,20,Quarterly,20,101.93981720830135,111.08131122369274
1.2.5,2020-02-10,2025-02-13,1600,20,Semi-Annual,10,166.9122713050759,111.08131122369274
1.2.5,2020-02-10,2025-02-13,1600,20,Annual,5,224.08046461226684,111.08131122369274
1.2.5,2020-02-10,2025-02-13,1600,20,No,0,219.12193340667864,111.08131122369274
1.2.5,2019-02-10,2025-02-13,1600,20,Quarterly,24,125.74505369929898,119.08548325225851
1.2.5,2019-02-10,2025-02-13,1600,20,Semi-Annual,12,214.17068726904466,119.08548325225851
1.2.5,2019-02-10,2025-02-13,1600,20,Annual,6,277.7361246688454,119.08548325225851
1.2.5,2019-02-10,2025-02-13,1600,20,No,0,238.38930292920477,119.08548325225851
1.2.5,2018-02-10,2025-02-13,1600,20,Quarterly,28,92.66663398295772,125.3420344218581
1.2.5,2018-02-10,2025-02-13,1600,20,Semi-Annual,14,174.69828466528006,125.3420344218581
1.2.5,2018-02-10,2025-02-13,1600,20,Annual,7,277.7361246688454,125.3420344218581
1.2.5,2018-02-10,2025-02-13,1600,20,No,0,0.0,125.3420344218581
1.2.5,2017-02-10,2025-02-13,1600,20,Quarterly,32,92.66663398295772,166.28228547641487
1.2.5,2017-02-10,2025-02-13,1600,20,Semi-Annual,16,174.69828466528006,166.28228547641487
1.2.5,2017-02-10,2025-02-13,1600,20,Annual,8,277.7361246688454,166.28228547641487
1.2.5,2017-02-10,2025-02-13,1600,20,No,0,0.0,166.28228547641487
1.2.5,2016-02-10,2025-02-13,1600,20,Quarterly,36,92.66663398295772,238.40893424116652
1.2.5,2016-02-10,2025-02-13,1600,20,Semi-Annual,18,174.69828466528006,238.40893424116652
1.2.5,2016-02-10,2025-02-13,1600,20,Annual,9,277.7361246688454,238.40893424116652
1.2.5,2016-02-10,2025-02-13,1600,20,No,0,0.0,238.40893424116652
1.2.5,2015-02-10,2025-02-13,1600,20,Quarterly,40,92.66663398295772,167.33602226538054
1.2.5,2015-02-10,2025-02-13,1600,20,Semi-Annual,20,174.69828466528006,167.33602226538054
1.2.5,2015-02-10,2025-02-13,1600,20,Annual,10,277.7361246688454,167.33602226538054
1.2.5,2015-02-10,2025-02-13,1600,20,No,0,0.0,167.33602226538054
