sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.7,2024-02-10,2025-02-13,400,470,Quarterly,4,13.509599087355992,7.5604560885257674
1.7,2024-02-10,2025-02-13,400,470,Semi-Annual,2,15.432953460546106,7.5604560885257674
1.7,2024-02-10,2025-02-13,400,470,Annual,1,17.21357148215302,7.5604560885257674
1.7,2024-02-10,2025-02-13,400,470,No,0,17.213571482153007,7.5604560885257674
1.7,2023-02-10,2025-02-13,400,470,Quarterly,8,41.00254566720639,36.643956124600805
1.7,2023-02-10,2025-02-13,400,470,Semi-Annual,4,61.44303823543723,36.643956124600805
1.7,2023-02-10,2025-02-13,400,470,Annual,2,65.37359847226931,36.643956124600805
1.7,2023-02-10,2025-02-13,400,470,No,0,68.3457292832942,36.643956124600805
1.7,2022-02-10,2025-02-13,400,470,Quarterly,12,47.018584216223644,40.793980141024306
1.7,2022-02-10,2025-02-13,400,470,Semi-Annual,6,66.19051051934676,40.793980141024306
1.7,2022-02-10,2025-02-13,400,470,Annual,3,77.38860250798969,40.793980141024306
1.7,2022-02-10,2025-02-13,400,470,No,0,78.60899724244143,40.793980141024306
1.7,2021-02-10,2025-02-13,400,470,Quarterly,16,71.77488196534466,62.74042284175159
1.7,2021-02-10,2025-02-13,400,470,Semi-Annual,8,102.69638721238219,62.74042284175159
1.7,2021-02-10,2025-02-13,400,470,Annual,4,125.0674143975989,62.74042284175159
1.7,2021-02-10,2025-02-13,400,470,No,0,115.9225600267189,62.74042284175159
1.7,2020-02-10,2025-02-13,400,470,Quarterly,20,81.68296780316719,111.08131122369274
1.7,2020-02-10,2025-02-13,400,470,Semi-Annual,10,135.47287154911783,111.08131122369274
1.7,2020-02-10,2025-02-13,400,470,Annual,5,174.03120485396616,111.08131122369274
1.7,2020-02-10,2025-02-13,400,470,No,0,187.62286122400215,111.08131122369274
1.7,2019-02-10,2025-02-13,400,470,Quarterly,24,102.20351134269579,119.08548325225851
1.7,2019-02-10,2025-02-13,400,470,Semi-Annual,12,169.53675921073327,119.08548325225851
1.7,2019-02-10,2025-02-13,400,470,Annual,6,211.21186949492204,119.08548325225851
1.7,2019-02-10,2025-02-13,400,470,No,0,208.13817377066752,119.08548325225851
1.7,2018-02-10,2025-02-13,400,470,Quarterly,28,84.20997341510783,125.3420344218581
1.7,2018-02-10,2025-02-13,400,470,Semi-Annual,14,147.0195929535282,125.3420344218581
1.7,2018-02-10,2025-02-13,400,470,Annual,7,195.37584974670898,125.3420344218581
1.7,2018-02-10,2025-02-13,400,470,No,0,188.30384167516848,125.3420344218581
1.7,2017-02-10,2025-02-13,400,470,Quarterly,32,129.25868758140467,166.28228547641487
1.7,2017-02-10,2025-02-13,400,470,Semi-Annual,16,214.16380075492816,166.28228547641487
1.7,2017-02-10,2025-02-13,400,470,Annual,8,272.82924276722775,166.28228547641487
1.7,2017-02-10,2025-02-13,400,470,No,0,249.79990890783253,166.28228547641487
1.7,2016-02-10,2025-02-13,400,470,Quarterly,36,197.9833819006773,238.40893424116652
1.7,2016-02-10,2025-02-13,400,470,Semi-Annual,18,298.31271635748925,238.40893424116652
1.7,2016-02-10,2025-02-13,400,470,Annual,9,386.58325312425904,238.40893424116652
1.7,2016-02-10,2025-02-13,400,470,No,0,376.74183590147175,238.40893424116652
1.7,2015-02-10,2025-02-13,400,470,Quarterly,40,192.48574676748862,167.33602226538054
1.7,2015-02-10,2025-02-13,400,470,Semi-Annual,20,279.12404444579516,167.33602226538054
1.7,2015-02-10,2025-02-13,400,470,Annual,10,386.58325312425904,167.33602226538054
1.7,2015-02-10,2025-02-13,400,470,No,0,0.0,167.33602226538054
